FOREST_TYPE_GROUP,DIAMETER_CLASS:_2_INCH_CLASS_TO_29,DISTURBANCE_1,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
Loblolly / shortleaf pine group,5.0-6.9,"Fire (from crown and ground fire, either prescribed or natural)",193124.56156774014,20997501492.10862,5,144905.14653423673,75.03196142320301
Loblolly / shortleaf pine group,7.0-8.9,"Fire (from crown and ground fire, either prescribed or natural)",174362.23107169656,14432112448.039196,4,120133.72735430794,68.89893907408754
Loblolly / shortleaf pine group,9.0-10.9,"Fire (from crown and ground fire, either prescribed or natural)",49860.12182538652,2442299010.7839475,1,49419.62171834127,99.11652821750432
Loblolly / shortleaf pine group,11.0-12.9,"Fire (from crown and ground fire, either prescribed or natural)",464075.0570814069,121459467875.07834,4,348510.35547753575,75.09784250619636
Loblolly / shortleaf pine group,13.0-14.9,"Fire (from crown and ground fire, either prescribed or natural)",496584.92249205057,116028132812.1107,3,340629.0252050032,68.59431484459863
Loblolly / shortleaf pine group,15.0-16.9,"Fire (from crown and ground fire, either prescribed or natural)",130020.11664660876,17323408169.181473,1,131618.41880672125,101.22927297816278
Loblolly / shortleaf pine group,17.0-18.9,"Fire (from crown and ground fire, either prescribed or natural)",76403.31269406035,3008352862.7170796,1,54848.45360369862,71.78805691754067
Loblolly / shortleaf pine group,21.0-28.9,"Fire (from crown and ground fire, either prescribed or natural)",134508.9234424532,18540200614.780033,1,136162.40529154893,101.22927297816278
Loblolly / shortleaf pine group,1.0-2.9,Ground fire damage,1916496.0799108678,37107795678.623604,123,192633.838353036,10.051355720069878
Loblolly / shortleaf pine group,3.0-4.9,Ground fire damage,5821583.532801294,367585545004.4831,91,606288.3348741613,10.414491717898974
Loblolly / shortleaf pine group,5.0-6.9,Ground fire damage,8117348.586953965,485713460864.4741,192,696931.4606648735,8.585703240402506
Loblolly / shortleaf pine group,7.0-8.9,Ground fire damage,14903840.78632804,1371071756218.0452,188,1170927.7331321712,7.856550200176021
Loblolly / shortleaf pine group,9.0-10.9,Ground fire damage,22790967.829773266,2542677643154.4126,184,1594577.575144719,6.996532955751106
Loblolly / shortleaf pine group,11.0-12.9,Ground fire damage,28751735.089408528,3835035289219.9194,195,1958324.6128310596,6.811152811269679
Loblolly / shortleaf pine group,13.0-14.9,Ground fire damage,31628481.03479681,5798232256789.683,171,2407951.880081843,7.613239084838373
Loblolly / shortleaf pine group,15.0-16.9,Ground fire damage,23023357.329654474,4419104082246.041,124,2102166.521055371,9.13058200398838
Loblolly / shortleaf pine group,17.0-18.9,Ground fire damage,14368428.379326588,2043778345667.0947,74,1429607.75937566,9.949645999089165
Loblolly / shortleaf pine group,19.0-20.9,Ground fire damage,9068316.273969812,1634675530606.0256,43,1278544.3013857696,14.099026354603142
Loblolly / shortleaf pine group,21.0-28.9,Ground fire damage,11848982.014202034,2757935818444.3945,37,1660703.4107402787,14.015578796134399
Loblolly / shortleaf pine group,29.0+,Ground fire damage,563058.5669471279,157363710074.37335,2,396690.95033082535,70.45287535214348
Loblolly / shortleaf pine group,5.0-6.9,Crown fire damage,91824.4721698469,4184906363.197839,1,64690.85223737464,70.45055714310729
Loblolly / shortleaf pine group,7.0-8.9,Crown fire damage,249303.98566470362,30848020963.899128,1,175636.046880756,70.45055714310729
Loblolly / shortleaf pine group,9.0-10.9,Crown fire damage,167708.45816118544,13959787148.884665,1,118151.54315067013,70.45055714310729
Loblolly / shortleaf pine group,11.0-12.9,Crown fire damage,45638.0389954962,1033767356.3542997,1,32152.252741515636,70.45055714310729
Loblolly / shortleaf pine group,1.0-2.9,Animal damage,14114.548810947523,105167104.63632417,1,10255.10139571151,72.65624663650212
Loblolly / shortleaf pine group,5.0-6.9,Animal damage,193823.46568716335,19831639861.557747,1,140824.85526908148,72.65624663650213
Loblolly / shortleaf pine group,7.0-8.9,Animal damage,77142.73987251813,3141492569.416468,1,56049.01934393204,72.65624663650213
Loblolly / shortleaf pine group,9.0-10.9,Animal damage,202906.23297667346,21733851424.284225,1,147424.05307236747,72.65624663650212
Loblolly / shortleaf pine group,11.0-12.9,Animal damage,125428.83129465638,8305019738.011543,1,91131.88101872771,72.65624663650213
Loblolly / shortleaf pine group,13.0-14.9,Animal damage,175523.12518332503,16263522071.099957,1,127528.514737293,72.65624663650212
Loblolly / shortleaf pine group,15.0-16.9,Animal damage,237584.47488152483,29797651294.676926,1,172619.96203995912,72.65624663650213
Loblolly / shortleaf pine group,17.0-18.9,Animal damage,292147.53024327324,45055763764.61098,1,212263.43011600227,72.65624663650213
Loblolly / shortleaf pine group,1.0-2.9,Domestic animal/livestock (includes grazing),60082.39402225583,672779127.6944567,5,25937.986191962875,43.1706935352058
Loblolly / shortleaf pine group,3.0-4.9,Domestic animal/livestock (includes grazing),292737.452531455,12474265212.562727,6,111688.2501096813,38.15304435556644
Loblolly / shortleaf pine group,5.0-6.9,Domestic animal/livestock (includes grazing),771378.0678637757,40006769715.14586,15,200016.92357184645,25.92981728476744
Loblolly / shortleaf pine group,7.0-8.9,Domestic animal/livestock (includes grazing),1095949.5623699026,114054544022.07413,12,337719.6233890979,30.815252360592805
Loblolly / shortleaf pine group,9.0-10.9,Domestic animal/livestock (includes grazing),1142325.5791275222,90553385868.11858,13,300920.8963633443,26.342830963583925
Loblolly / shortleaf pine group,11.0-12.9,Domestic animal/livestock (includes grazing),1037666.0485354445,85246627356.50412,12,291970.2508073453,28.13720765167467
Loblolly / shortleaf pine group,13.0-14.9,Domestic animal/livestock (includes grazing),1078645.9123708957,97555480528.65569,11,312338.7272315998,28.956557814702137
Loblolly / shortleaf pine group,15.0-16.9,Domestic animal/livestock (includes grazing),1807281.794961584,266750088481.5913,11,516478.54600321135,28.57764336713134
Loblolly / shortleaf pine group,17.0-18.9,Domestic animal/livestock (includes grazing),603151.276469565,127366711955.4555,3,356884.7320290622,59.17002018432611
Loblolly / shortleaf pine group,19.0-20.9,Domestic animal/livestock (includes grazing),874106.2980435223,157626034772.57526,4,397021.4537938413,45.42027150273128
Loblolly / shortleaf pine group,21.0-28.9,Domestic animal/livestock (includes grazing),805161.4173061277,118637630760.03333,4,344438.137783889,42.77876837868044
Loblolly / shortleaf pine group,29.0+,Domestic animal/livestock (includes grazing),288690.38833572273,77494970281.38617,1,278379.18435361894,96.42828289450608
Loblolly / shortleaf pine group,9.0-10.9,Weather damage,27178.9239842193,380118248.74843,1,19496.621470101687,71.73433900996915
Loblolly / shortleaf pine group,1.0-2.9,Ice,24487.816838801577,596162416.4295335,1,24416.43742296434,99.70851049602702
Loblolly / shortleaf pine group,3.0-4.9,Ice,11746.499037996115,137177016.18208337,1,11712.259226216067,99.708510496027
Loblolly / shortleaf pine group,5.0-6.9,Ice,89424.12298859558,4620799432.157558,2,67976.4623392359,76.0157998394964
Loblolly / shortleaf pine group,7.0-8.9,Ice,157010.1000654845,14472032034.697187,2,120299.7590799632,76.61912133664622
Loblolly / shortleaf pine group,9.0-10.9,Ice,178304.48748286028,22543835775.50213,2,150146.04815146528,84.20766648730489
Loblolly / shortleaf pine group,11.0-12.9,Ice,25251.797212053647,633941295.668238,1,25178.19087361596,99.70851049602697
Loblolly / shortleaf pine group,1.0-2.9,"Wind (includes hurricane, tornado)",52368.31540069939,329257608.68119526,7,18145.456970856238,34.649686231102066
Loblolly / shortleaf pine group,3.0-4.9,"Wind (includes hurricane, tornado)",177664.9315457207,9372154157.047142,4,96809.88666994266,54.49014942210437
Loblolly / shortleaf pine group,5.0-6.9,"Wind (includes hurricane, tornado)",402887.03243467666,16726244013.532616,8,129329.98110852957,32.100805113279215
Loblolly / shortleaf pine group,7.0-8.9,"Wind (includes hurricane, tornado)",899094.906051975,88510874825.61287,8,297507.7727146181,33.089696172454985
Loblolly / shortleaf pine group,9.0-10.9,"Wind (includes hurricane, tornado)",766480.8140247228,69790235514.66664,7,264178.41606510297,34.466409495356515
Loblolly / shortleaf pine group,11.0-12.9,"Wind (includes hurricane, tornado)",501479.27842028893,25744063194.48726,7,160449.56589061642,31.995253402303874
Loblolly / shortleaf pine group,13.0-14.9,"Wind (includes hurricane, tornado)",963459.5487859151,131795587003.00719,8,363036.61936918594,37.68052533462972
Loblolly / shortleaf pine group,15.0-16.9,"Wind (includes hurricane, tornado)",374206.30072057765,40464822878.51645,4,201158.70072784933,53.75609666125207
Loblolly / shortleaf pine group,17.0-18.9,"Wind (includes hurricane, tornado)",829628.1693547269,246778594307.7933,2,496768.1494498146,59.87840912347442
Loblolly / shortleaf pine group,19.0-20.9,"Wind (includes hurricane, tornado)",238622.26433330053,27396636736.25878,1,165519.29415104084,69.3645643726892
Loblolly / shortleaf pine group,21.0-28.9,"Wind (includes hurricane, tornado)",518191.44192710315,65351973069.12161,2,255640.31972504183,49.33318056630587
Loblolly / shortleaf pine group,1.0-2.9,Flooding (weather induced),43056.24890285062,1258681535.7511368,2,35477.902076519924,82.39896177804529
Loblolly / shortleaf pine group,5.0-6.9,Flooding (weather induced),157137.9808207539,26105841097.93111,1,161573.0209469734,102.8223858439918
Loblolly / shortleaf pine group,7.0-8.9,Flooding (weather induced),263637.1785432927,47782701861.91206,2,218592.54759005868,82.91415831328315
Loblolly / shortleaf pine group,9.0-10.9,Flooding (weather induced),196282.08672169413,27485395098.512524,2,165787.19823470243,84.46374348453406
Loblolly / shortleaf pine group,11.0-12.9,Flooding (weather induced),370965.62700971426,50337364002.99182,2,224359.89838425186,60.47996958445335
Loblolly / shortleaf pine group,13.0-14.9,Flooding (weather induced),100152.61183563436,3548408290.0055256,2,59568.51760792378,59.47774752563094
Loblolly / shortleaf pine group,15.0-16.9,Flooding (weather induced),225711.4960212474,26893868447.686604,1,163993.5012361362,72.65624663650212
Loblolly / shortleaf pine group,17.0-18.9,Flooding (weather induced),74743.55858064677,5906400547.0018215,1,76853.11019732266,102.8223858439918
Loblolly / shortleaf pine group,21.0-28.9,Flooding (weather induced),169987.91820636587,30550017554.359512,1,174785.63314631872,102.82238584399181
Loblolly / shortleaf pine group,5.0-6.9,Drought,23614.499575503367,293523710.1432291,1,17132.53367553174,72.55090721170424
Loblolly / shortleaf pine group,7.0-8.9,Drought,75795.81234318388,3023960532.492953,1,54990.54948346082,72.55090721170426
Loblolly / shortleaf pine group,9.0-10.9,Drought,144294.0193379987,10959288424.18254,1,104686.62008195002,72.55090721170426
Loblolly / shortleaf pine group,11.0-12.9,Drought,111887.12552189227,6589400856.947702,1,81175.12461923112,72.55090721170424
Loblolly / shortleaf pine group,1.0-2.9,"Vegetation (suppression,competetion,vines)",430919.93541029876,36135026102.40287,6,190092.15160653758,44.113102222931985
Loblolly / shortleaf pine group,3.0-4.9,"Vegetation (suppression,competetion,vines)",531223.6093535998,105935765821.81763,2,325477.7501179115,61.26944367437985
Loblolly / shortleaf pine group,5.0-6.9,"Vegetation (suppression,competetion,vines)",1035224.2355071796,170787023058.33154,6,413263.8661416354,39.92022713216022
Loblolly / shortleaf pine group,7.0-8.9,"Vegetation (suppression,competetion,vines)",1039648.9885703569,117523696478.25673,6,342817.2931435296,32.974330462721355
Loblolly / shortleaf pine group,9.0-10.9,"Vegetation (suppression,competetion,vines)",1195967.1621403769,165266957671.1961,6,406530.3896035278,33.99176854287335
Loblolly / shortleaf pine group,11.0-12.9,"Vegetation (suppression,competetion,vines)",1733899.6037832035,486831083259.603,5,697732.816527647,40.24066993298
Loblolly / shortleaf pine group,13.0-14.9,"Vegetation (suppression,competetion,vines)",498476.06828030676,91464662574.80301,2,302431.25264232035,60.67116796312375
Loblolly / shortleaf pine group,15.0-16.9,"Vegetation (suppression,competetion,vines)",669601.3970654554,87863631706.30493,3,296418.00165695895,44.2678290332156
Loblolly / shortleaf pine group,17.0-18.9,"Vegetation (suppression,competetion,vines)",337211.76391492947,29974010467.003956,2,173130.03918154686,51.34163683127717
Loblolly / shortleaf pine group,19.0-20.9,"Vegetation (suppression,competetion,vines)",230159.07495715065,27299871556.735107,1,165226.72773112438,71.78805691754067
Loblolly / shortleaf pine group,21.0-28.9,"Vegetation (suppression,competetion,vines)",824403.0806472312,213845948946.38565,2,462434.805076765,56.093289306210714
Loblolly / shortleaf pine group,1.0-2.9,Unknown/not sure/other,13909.389084497498,102132045.26710624,1,10106.040038863206,72.65624663650212
Loblolly / shortleaf pine group,1.0-2.9,Human-caused damage,175228.9474700099,4172695826.9923534,8,64596.407229755074,36.864004585093234
Loblolly / shortleaf pine group,3.0-4.9,Human-caused damage,230655.2791247636,14393630415.590218,5,119973.45712944267,52.014182196345004
Loblolly / shortleaf pine group,5.0-6.9,Human-caused damage,438689.7285000905,25404367080.66434,11,159387.4746668142,36.332620599933044
Loblolly / shortleaf pine group,7.0-8.9,Human-caused damage,1418017.6038962086,193936596188.60727,12,440382.3295599033,31.056196224213938
Loblolly / shortleaf pine group,9.0-10.9,Human-caused damage,1628056.6338175046,381086702513.13574,12,617322.2031590438,37.917735190300625
Loblolly / shortleaf pine group,11.0-12.9,Human-caused damage,1135417.4604420597,190549211210.25586,8,436519.42821626604,38.445720928610086
Loblolly / shortleaf pine group,13.0-14.9,Human-caused damage,1117623.8263280552,116564789974.165,8,341415.8607536636,30.54836991757619
Loblolly / shortleaf pine group,15.0-16.9,Human-caused damage,649688.4717192256,54808563781.96825,6,234112.2888315952,36.03454563570753
Loblolly / shortleaf pine group,17.0-18.9,Human-caused damage,375433.9445641043,41673196815.77602,2,204140.1401385235,54.3744493789818
Loblolly / shortleaf pine group,19.0-20.9,Human-caused damage,661813.7524359035,64091032227.5049,4,253162.06711809116,38.25276615759202
Loblolly / shortleaf pine group,21.0-28.9,Human-caused damage,145746.14467894094,10930709508.604805,1,104550.03351795161,71.73433900996915
Other eastern softwoods group,1.0-2.9,No visible disturbance,36683.14589878556,615205672.3335103,1,24803.339943110692,67.61508408124789
Other eastern softwoods group,3.0-4.9,No visible disturbance,163998.54968378207,12296094710.311552,1,110887.75726071635,67.61508408124789
Other eastern softwoods group,5.0-6.9,No visible disturbance,204573.32580461013,11472406023.405148,3,107109.31809793743,52.357421319062155
Other eastern softwoods group,7.0-8.9,No visible disturbance,214426.34642687422,15946020683.389063,2,126277.5541550796,58.89087617231963
Other eastern softwoods group,9.0-10.9,No visible disturbance,53703.03598012453,692434541.935718,2,26314.15098261234,48.99937313106692
Other eastern softwoods group,11.0-12.9,No visible disturbance,54901.69307106113,1378029960.5276852,1,37121.82593202664,67.61508408124791
Oak / pine group,1.0-2.9,No visible disturbance,14644373.452164397,535761447483.3062,502,731957.2716240383,4.998215007388091
Oak / pine group,3.0-4.9,No visible disturbance,26714230.821710702,1949738606756.6782,358,1396330.407445415,5.226916008791145
Oak / pine group,5.0-6.9,No visible disturbance,35018908.41851946,1956090634445.866,582,1398603.1011140603,3.9938512200295215
Oak / pine group,7.0-8.9,No visible disturbance,39306901.4917725,2503052522259.8955,539,1582103.827901284,4.02500265311536
Oak / pine group,9.0-10.9,No visible disturbance,46344141.78107012,4011629502256.739,473,2002905.265422391,4.321808945959389
Oak / pine group,11.0-12.9,No visible disturbance,45147798.993589416,4330654414391.877,408,2081022.444470957,4.60935525288053
Oak / pine group,13.0-14.9,No visible disturbance,43255119.02508928,4784029996926.681,330,2187242.5555769256,5.056609725910727
Oak / pine group,15.0-16.9,No visible disturbance,37993662.3700682,4563864995799.526,263,2136320.4337831736,5.622833653083649
Oak / pine group,17.0-18.9,No visible disturbance,35905705.33979003,5620168740420.062,190,2370689.507383888,6.602542645936367
Oak / pine group,19.0-20.9,No visible disturbance,26686120.449602075,5291561965687.879,117,2300339.532696832,8.61998482335087
Oak / pine group,21.0-28.9,No visible disturbance,44372884.91325736,15196996815173.732,113,3898332.56857002,8.785393548764526
Oak / pine group,29.0+,No visible disturbance,9999597.033026738,4300028939103.689,17,2073651.113158549,20.737346778171958
Oak / pine group,1.0-2.9,Insect damage,13167.986185009695,173820361.26808396,1,13184.095011341657,100.12233325662432
Oak / pine group,3.0-4.9,Insect damage,59531.44698004043,2583001734.2658677,2,50823.24010003561,85.37208933805273
Oak / pine group,5.0-6.9,Insect damage,126929.0800505518,9727747581.572252,3,98629.34442432562,77.70429312577126
Oak / pine group,7.0-8.9,Insect damage,61504.88766319488,1609164533.4367948,3,40114.39309570562,65.22147201597193
Oak / pine group,9.0-10.9,Insect damage,164015.0916703996,18771938530.918392,2,137010.72414566093,83.53543734926178
Oak / pine group,11.0-12.9,Insect damage,74336.9443138123,3220083721.6343493,2,56745.781531620036,76.33590814826685
Oak / pine group,13.0-14.9,Insect damage,54981.45048813869,3030360592.346615,1,55048.71108706011,100.1223332566243
Oak / pine group,15.0-16.9,Insect damage,24298.63900878874,591869310.7398382,1,24328.36432520358,100.12233325662432
Oak / pine group,21.0-28.9,Insect damage,38668.221167756456,1498891896.31176,1,38715.525261989664,100.12233325662432
Oak / pine group,1.0-2.9,Insect damage to trees including seedlings and saplings,172463.8743516383,1656242947.4141533,21,40696.96484277609,23.597385247068406
Oak / pine group,3.0-4.9,Insect damage to trees including seedlings and saplings,663305.9580650222,34141816734.225857,19,184775.04359145978,27.8566838341812
Oak / pine group,5.0-6.9,Insect damage to trees including seedlings and saplings,1280468.6679878302,66996577300.7874,27,258836.97050612263,20.214236941296456
Oak / pine group,7.0-8.9,Insect damage to trees including seedlings and saplings,1700008.434459497,142463433291.60144,26,377443.2848675433,22.202436012474735
Oak / pine group,9.0-10.9,Insect damage to trees including seedlings and saplings,2068432.618096985,226844677558.59836,26,476282.14070926316,23.026234286880268
Oak / pine group,11.0-12.9,Insect damage to trees including seedlings and saplings,2049198.8408074116,213733982274.35223,24,462313.7271100137,22.56070606246566
Oak / pine group,13.0-14.9,Insect damage to trees including seedlings and saplings,2030089.8757023795,201990369466.45743,23,449433.38712923566,22.138595562117107
Oak / pine group,15.0-16.9,Insect damage to trees including seedlings and saplings,1578133.7354004313,132551799924.26585,17,364076.64017932524,23.070075242193937
Oak / pine group,17.0-18.9,Insect damage to trees including seedlings and saplings,1124216.1883685647,96968684990.16461,12,311397.95277131256,27.699116592797484
Oak / pine group,19.0-20.9,Insect damage to trees including seedlings and saplings,1090680.0146664088,109146777118.0995,11,330373.69313869334,30.29061582647044
Oak / pine group,21.0-28.9,Insect damage to trees including seedlings and saplings,2560106.428888293,439643382823.73944,12,663056.0932709535,25.899551901007516
Oak / pine group,29.0+,Insect damage to trees including seedlings and saplings,413253.0195985736,59469454113.28279,3,243863.59735163997,59.01072364541331
Oak / pine group,1.0-2.9,"Disease damage to trees, including seedlings and saplings",210392.71799864434,6504592454.700037,9,80651.0536490382,38.33357656872794
Oak / pine group,3.0-4.9,"Disease damage to trees, including seedlings and saplings",342588.05612299143,13893065955.987913,10,117868.85066033313,34.40541739669331
Oak / pine group,5.0-6.9,"Disease damage to trees, including seedlings and saplings",548288.3130920376,28160255403.62616,11,167810.1766986322,30.606192525293345
Oak / pine group,7.0-8.9,"Disease damage to trees, including seedlings and saplings",748836.619385878,47374603257.60973,10,217657.0772054282,29.06603010199062
Oak / pine group,9.0-10.9,"Disease damage to trees, including seedlings and saplings",603524.5089660404,24422376278.47558,10,156276.60182661886,25.893994279429066
Oak / pine group,11.0-12.9,"Disease damage to trees, including seedlings and saplings",545550.7887973544,17828566947.3108,10,133523.65688263185,24.475018572877435
Oak / pine group,13.0-14.9,"Disease damage to trees, including seedlings and saplings",583328.8790153177,34490295413.20467,7,185715.6305032096,31.8372083372085
Oak / pine group,15.0-16.9,"Disease damage to trees, including seedlings and saplings",1188078.244751164,177761897113.2588,8,421618.18878371315,35.487409238102714
Oak / pine group,17.0-18.9,"Disease damage to trees, including seedlings and saplings",378875.73911124974,27108731744.75343,4,164647.2949815861,43.4568060145019
Oak / pine group,19.0-20.9,"Disease damage to trees, including seedlings and saplings",525127.766488117,43968613872.45741,4,209686.94254163138,39.93065229514507
Oak / pine group,21.0-28.9,"Disease damage to trees, including seedlings and saplings",1693418.6478062195,402064648289.41785,6,634085.6789814905,37.44411813363059
Oak / pine group,29.0+,"Disease damage to trees, including seedlings and saplings",79658.1330464439,6360243596.480573,1,79751.13539304987,100.11675185326243
Oak / pine group,1.0-2.9,"Fire (from crown and ground fire, either prescribed or natural)",17257.165672373794,92113052.6309981,2,9597.554513051651,55.61489467772762
Oak / pine group,5.0-6.9,"Fire (from crown and ground fire, either prescribed or natural)",24493.337846107526,315777833.4609647,1,17770.13881377871,72.55090721170424
Oak / pine group,7.0-8.9,"Fire (from crown and ground fire, either prescribed or natural)",157676.5078405622,11702111621.54788,2,108176.29879760114,68.60647808548994
Oak / pine group,9.0-10.9,"Fire (from crown and ground fire, either prescribed or natural)",285114.01227662095,42788081899.77829,1,206852.80249437832,72.55090721170426
Oak / pine group,11.0-12.9,"Fire (from crown and ground fire, either prescribed or natural)",119358.77892137968,7498845903.74774,1,86595.87694427339,72.55090721170426
Oak / pine group,13.0-14.9,"Fire (from crown and ground fire, either prescribed or natural)",659797.5073325918,215448553757.53635,2,464164.36071453866,70.34951717096469
Oak / pine group,17.0-18.9,"Fire (from crown and ground fire, either prescribed or natural)",467814.01189295267,64689588764.88374,2,254341.48062178874,54.36807666205353
Oak / pine group,19.0-20.9,"Fire (from crown and ground fire, either prescribed or natural)",530176.8817836468,128507583751.3324,1,358479.5443973511,67.61508408124791
Oak / pine group,21.0-28.9,"Fire (from crown and ground fire, either prescribed or natural)",1591807.4586232135,788714875329.7278,2,888096.2083748177,55.79168533001787
Oak / pine group,1.0-2.9,Ground fire damage,812295.664573975,30366310943.470543,33,174259.32096582538,21.452696175255255
Oak / pine group,3.0-4.9,Ground fire damage,978407.8667157746,41509235241.940125,20,203738.15362356685,20.82343780691947
Oak / pine group,5.0-6.9,Ground fire damage,1599712.40783452,60165545358.204,44,245286.65956020518,15.33317228515105
Oak / pine group,7.0-8.9,Ground fire damage,2297699.2825705707,128342191431.25725,43,358248.78427045257,15.591630592740522
Oak / pine group,9.0-10.9,Ground fire damage,2816777.0451255264,205082480746.5022,39,452860.33249391825,16.077251597800387
Oak / pine group,11.0-12.9,Ground fire damage,3433718.467866131,324882074822.1234,33,569984.275942875,16.59962170099196
Oak / pine group,13.0-14.9,Ground fire damage,3506487.9931857595,359340088671.1749,29,599449.8216457946,17.095447718934714
Oak / pine group,15.0-16.9,Ground fire damage,3548379.557301733,709389923960.3047,22,842252.8859910809,23.736268129995334
Oak / pine group,17.0-18.9,Ground fire damage,5182072.225731221,901259789142.1707,25,949347.0330401685,18.319834068044276
Oak / pine group,19.0-20.9,Ground fire damage,2482226.026256033,426128819682.82434,11,652785.4315797989,26.298388006365474
Oak / pine group,21.0-28.9,Ground fire damage,5420593.482855224,1648621760119.649,15,1283986.6666440305,23.6871971806251
Oak / pine group,29.0+,Ground fire damage,3172358.1263418794,1384589690569.9204,5,1176685.8929085198,37.091836610054614
Oak / pine group,1.0-2.9,Animal damage,1483.715550535516,2327430.121149015,1,1525.5917281989357,102.82238584399181
Oak / pine group,3.0-4.9,Animal damage,16466.572021945518,286669672.10675234,1,16931.32221968362,102.8223858439918
Oak / pine group,5.0-6.9,Animal damage,32208.876293109617,892140854.4631026,2,29868.727031179325,92.73445853672668
Oak / pine group,7.0-8.9,Animal damage,36474.47250096503,1406544229.1014693,1,37503.922849502946,102.8223858439918
Oak / pine group,9.0-10.9,Animal damage,17260.860803371474,221743720.17236033,2,14891.061754366621,86.27067864111405
Oak / pine group,11.0-12.9,Animal damage,38446.33581746585,889716410.7531409,2,29828.114435095304,77.58376396833282
Oak / pine group,13.0-14.9,Animal damage,250091.2653755694,32557483812.56848,2,180436.92474814705,72.14843128454712
Oak / pine group,15.0-16.9,Animal damage,101458.91529135674,10548547562.210144,1,102706.12232097045,101.22927297816278
Oak / pine group,19.0-20.9,Animal damage,93015.54011932,9147162157.216677,1,95640.79755636021,102.82238584399181
Oak / pine group,21.0-28.9,Animal damage,118466.38240454604,14837666552.87996,1,121809.96081142116,102.82238584399181
Oak / pine group,29.0+,Animal damage,979302.95586624,701630517117.5013,2,837633.8801155917,85.53368241134989
Oak / pine group,1.0-2.9,Beaver (includes flooding caused by beaver),16349.13335556282,81424316.60059234,2,9023.542353233144,55.19278702416889
Oak / pine group,3.0-4.9,Beaver (includes flooding caused by beaver),94662.60185813438,4413087510.612307,1,66431.07338145535,70.17668231960488
Oak / pine group,5.0-6.9,Beaver (includes flooding caused by beaver),154537.39522187292,9920360615.853504,2,99601.00710260667,64.45107150900739
Oak / pine group,7.0-8.9,Beaver (includes flooding caused by beaver),205763.6982001072,20850821915.63185,1,144398.1368149598,70.1766823196049
Oak / pine group,9.0-10.9,Beaver (includes flooding caused by beaver),259480.83300616313,29575092738.432056,2,171974.10484846856,66.27622659296144
Oak / pine group,11.0-12.9,Beaver (includes flooding caused by beaver),352329.2111451961,61134021889.241905,1,247252.95122453425,70.1766823196049
Oak / pine group,13.0-14.9,Beaver (includes flooding caused by beaver),307620.23067239905,46603169281.008156,1,215877.67202980525,70.1766823196049
Oak / pine group,17.0-18.9,Beaver (includes flooding caused by beaver),47739.67420528253,1122392011.491829,1,33502.11950745548,70.1766823196049
Oak / pine group,21.0-28.9,Beaver (includes flooding caused by beaver),225968.70402222924,25146772623.008427,1,158577.33956340808,70.1766823196049
Oak / pine group,1.0-2.9,Domestic animal/livestock (includes grazing),88053.91491933988,814151268.5388062,7,28533.33609199608,32.40439237498242
Oak / pine group,3.0-4.9,Domestic animal/livestock (includes grazing),302560.0492799422,16729227505.395893,4,129341.51501121321,42.7490395110098
Oak / pine group,5.0-6.9,Domestic animal/livestock (includes grazing),383746.9638116028,15431642490.553217,8,124224.16226545146,32.37137332151981
Oak / pine group,7.0-8.9,Domestic animal/livestock (includes grazing),696698.6814465187,84507012042.94852,7,290700.8979053015,41.725484150728484
Oak / pine group,9.0-10.9,Domestic animal/livestock (includes grazing),499657.0337900837,35569642582.96575,7,188599.15848954828,37.745722712828396
Oak / pine group,11.0-12.9,Domestic animal/livestock (includes grazing),953953.4793459667,117410870770.99889,7,342652.69701404497,35.9192250390416
Oak / pine group,13.0-14.9,Domestic animal/livestock (includes grazing),510520.2100092785,44522515906.22491,5,211003.5921642684,41.331094837642866
Oak / pine group,15.0-16.9,Domestic animal/livestock (includes grazing),763329.1945845268,157749009220.537,4,397176.29488746804,52.03211113963059
Oak / pine group,17.0-18.9,Domestic animal/livestock (includes grazing),953775.9704611453,120231620152.64299,6,346744.3152419993,36.35490156816913
Oak / pine group,19.0-20.9,Domestic animal/livestock (includes grazing),749709.0996609027,113202644657.4719,4,336456.0070164774,44.878207716654124
Oak / pine group,21.0-28.9,Domestic animal/livestock (includes grazing),884460.3038023679,138590824840.1537,4,372277.88658494566,42.09096609361577
Oak / pine group,1.0-2.9,"Wind (includes hurricane, tornado)",98375.6313291412,1982082379.4805167,7,44520.58377290797,45.25570323808425
Oak / pine group,3.0-4.9,"Wind (includes hurricane, tornado)",331094.5504711283,22039228253.22052,4,148456.149260381,44.83799236476001
Oak / pine group,5.0-6.9,"Wind (includes hurricane, tornado)",322134.0187470475,14128593337.388622,8,118863.75956273898,36.898853472559054
Oak / pine group,7.0-8.9,"Wind (includes hurricane, tornado)",447350.042010189,23165905532.08613,9,152203.50039367075,34.0233566783043
Oak / pine group,9.0-10.9,"Wind (includes hurricane, tornado)",434185.8751742423,23911105382.27565,7,154632.16153916897,35.61427729013843
Oak / pine group,11.0-12.9,"Wind (includes hurricane, tornado)",284179.1081578275,19807979517.62607,4,140740.82391980683,49.52539433041015
Oak / pine group,13.0-14.9,"Wind (includes hurricane, tornado)",290346.6297455687,12175592766.192032,5,110343.06850088968,38.00390884426092
Oak / pine group,15.0-16.9,"Wind (includes hurricane, tornado)",158653.81650490582,12999509176.661684,2,114015.39008687242,71.864259302799
