FOREST_TYPE_GROUP,DIAMETER_CLASS:_2_INCH_CLASS_TO_29,DISTURBANCE_1,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
Total,1.0-2.9,Insect damage to trees including seedlings and saplings,1917894.0423609023,53735597016.59984,124,231809.39803338397,12.086663439864992
Total,3.0-4.9,Insect damage to trees including seedlings and saplings,4668826.483102373,396559577893.36487,84,629729.7657673209,13.487966795220752
Total,5.0-6.9,Insect damage to trees including seedlings and saplings,6806009.350909543,317538518812.72217,150,563505.5623618299,8.279529652519857
Total,7.0-8.9,Insect damage to trees including seedlings and saplings,10278587.119285094,747232553506.315,147,864426.14115164,8.409970466950359
Total,9.0-10.9,Insect damage to trees including seedlings and saplings,12360061.072321218,1298054850523.582,139,1139322.1013056764,9.21777080743592
Total,11.0-12.9,Insect damage to trees including seedlings and saplings,12547579.630860921,1517175355798.8682,131,1231736.7234108383,9.81652844331322
Total,13.0-14.9,Insect damage to trees including seedlings and saplings,12578456.4363917,1482496218975.6528,119,1217578.0135070002,9.679868270516337
Total,15.0-16.9,Insect damage to trees including seedlings and saplings,13100279.041209092,1739245236882.6538,99,1318804.4725745565,10.066995278696272
Total,17.0-18.9,Insect damage to trees including seedlings and saplings,7709359.660168531,850113574696.292,69,922016.0381990608,11.959696769146518
Total,19.0-20.9,Insect damage to trees including seedlings and saplings,7624187.347176812,1076610598922.4745,54,1037598.4767348468,13.609299319212859
Total,21.0-28.9,Insect damage to trees including seedlings and saplings,19414829.239360612,5056503643480.794,72,2248667.081513134,11.582214058078366
Total,29.0+,Insect damage to trees including seedlings and saplings,3894376.288476024,944675680072.7727,15,971944.2782756493,24.957636506563617
Total,1.0-2.9,Disease damage,176417.4195066837,4968341251.008484,9,70486.46147316862,39.954365997569866
Total,3.0-4.9,Disease damage,275294.1493176963,9330051317.204233,7,96592.19076718486,35.08690286611034
Total,5.0-6.9,Disease damage,914299.7031662061,130459629876.99214,11,361191.95710451825,39.50476587203473
Total,7.0-8.9,Disease damage,1746175.8818065557,241893962355.82437,11,491827.1671591804,28.165958096405884
Total,9.0-10.9,Disease damage,1280211.5875842178,130427082698.76483,11,361146.8990573847,28.209938307063393
Total,11.0-12.9,Disease damage,671422.0603355386,48579213501.80145,9,220406.92707308783,32.826881941135646
Total,13.0-14.9,Disease damage,1172792.7683922881,248032271763.4793,6,498028.38449578284,42.465165024721315
Total,15.0-16.9,Disease damage,310113.1206899351,25981985824.273308,4,161189.28569937055,51.977576872838846
Total,17.0-18.9,Disease damage,686041.4256893492,120918330765.04294,3,347733.1315319881,50.68690001956928
Total,19.0-20.9,Disease damage,354011.3363924549,40140530974.26789,3,200351.01939912332,56.59452079721407
Total,21.0-28.9,Disease damage,476691.47293035884,59699524366.69945,3,244334.86113671836,51.25639433714265
Total,1.0-2.9,Disease damage to understory vegetation,96454.54289702844,1633981106.3652272,4,40422.53216171925,41.90837564268275
Total,3.0-4.9,Disease damage to understory vegetation,94784.29523651653,4027388035.049566,2,63461.70526427387,66.95381877970082
Total,5.0-6.9,Disease damage to understory vegetation,183061.5497750557,5936063757.7422905,4,77045.85490305297,42.087404481020826
Total,7.0-8.9,Disease damage to understory vegetation,141961.2972062493,6742075898.945392,4,82110.14492098642,57.83981024186629
Total,9.0-10.9,Disease damage to understory vegetation,437835.3469082662,49321362735.834785,3,222084.13436316155,50.72320814922507
Total,11.0-12.9,Disease damage to understory vegetation,322828.5581142866,27155366690.238327,4,164788.85487264703,51.04531514659526
Total,13.0-14.9,Disease damage to understory vegetation,125469.82521567593,5577086136.340338,2,74679.89111092984,59.52020016171944
Total,15.0-16.9,Disease damage to understory vegetation,97724.51208068368,4531117139.692495,1,67313.57322035798,68.88095093765452
Total,1.0-2.9,"Disease damage to trees, including seedlings and saplings",2419578.1284024525,90870479960.51962,112,301447.3087631064,12.458672246394443
Total,3.0-4.9,"Disease damage to trees, including seedlings and saplings",4913745.056480528,386488418564.4423,83,621681.9271656869,12.651896262826604
Total,5.0-6.9,"Disease damage to trees, including seedlings and saplings",12404182.11348658,1440109196689.5757,141,1200045.4977581373,9.674523372672631
Total,7.0-8.9,"Disease damage to trees, including seedlings and saplings",18604748.085882552,3162986107909.647,135,1778478.5936045581,9.559272640483014
Total,9.0-10.9,"Disease damage to trees, including seedlings and saplings",19812385.390840985,3631761571422.6377,127,1905718.1248607144,9.618822202710147
Total,11.0-12.9,"Disease damage to trees, including seedlings and saplings",13862572.95439119,2365175202880.052,100,1537912.6122377864,11.093991117649109
Total,13.0-14.9,"Disease damage to trees, including seedlings and saplings",10615356.999962652,1579695315014.7703,71,1256859.3059745273,11.840009770551752
Total,15.0-16.9,"Disease damage to trees, including seedlings and saplings",7844551.367296298,1123965387480.4597,54,1060172.3385754128,13.514760614548843
Total,17.0-18.9,"Disease damage to trees, including seedlings and saplings",3736942.275906357,371223574340.0266,31,609281.194802553,16.304270973914846
Total,19.0-20.9,"Disease damage to trees, including seedlings and saplings",4394170.017208437,696318644013.5149,28,834457.0953701064,18.990095788333353
Total,21.0-28.9,"Disease damage to trees, including seedlings and saplings",5431959.492061283,1056902078910.167,21,1028057.4297723678,18.926087929684606
Total,29.0+,"Disease damage to trees, including seedlings and saplings",1367127.234220446,297193832365.77234,5,545154.8700743417,39.875942518634425
Total,1.0-2.9,"Fire (from crown and ground fire, either prescribed or natural)",138331.2957802943,3010134453.885906,12,54864.69223358412,39.66180749201061
Total,3.0-4.9,"Fire (from crown and ground fire, either prescribed or natural)",254396.4595424519,15744471779.931314,4,125476.97709114336,49.32339754917251
Total,5.0-6.9,"Fire (from crown and ground fire, either prescribed or natural)",435355.3449021934,35782276686.43516,12,189162.0381747753,43.45003234479005
Total,7.0-8.9,"Fire (from crown and ground fire, either prescribed or natural)",689430.701221939,51766614506.4133,11,227522.7779946731,33.00154425838803
Total,9.0-10.9,"Fire (from crown and ground fire, either prescribed or natural)",841884.8519548024,139398387500.94485,5,373360.9346208369,44.34821861373523
Total,11.0-12.9,"Fire (from crown and ground fire, either prescribed or natural)",1232159.5009182023,216001579673.0514,10,464759.7009993997,37.71911839766376
Total,13.0-14.9,"Fire (from crown and ground fire, either prescribed or natural)",1742106.8980484367,431649028142.6503,8,657000.0214175418,37.712956773980636
Total,15.0-16.9,"Fire (from crown and ground fire, either prescribed or natural)",567707.7934114988,74777472341.94083,4,273454.6988843688,48.168212953553244
Total,17.0-18.9,"Fire (from crown and ground fire, either prescribed or natural)",644410.3900706611,77322490641.41571,4,278069.2191548998,43.15095216332699
Total,19.0-20.9,"Fire (from crown and ground fire, either prescribed or natural)",530176.8817836468,128507583751.3324,1,358479.5443973511,67.61508408124791
Total,21.0-28.9,"Fire (from crown and ground fire, either prescribed or natural)",1726316.3820656668,807255075944.5078,3,898473.7480552829,52.04571753992114
Total,1.0-2.9,Ground fire damage,4175095.118160554,95487065809.18082,253,309009.8150693289,7.401264074804387
Total,3.0-4.9,Ground fire damage,11470275.21024702,747841762784.4857,187,864778.4472247708,7.5392998979851615
Total,5.0-6.9,Ground fire damage,19154313.72162796,1220357325577.1863,403,1104697.8435650114,5.767357993712139
Total,7.0-8.9,Ground fire damage,34598527.399394944,3716364508944.6147,403,1927787.4646715117,5.571877214361512
