statecd,fortypcd,spgrpcd,trtcd1,trtcd2,trtcd3,harvest_type1_srs,harvest_type2_srs,harvest_type3_srs,totvol,vol20,vol40,vol60,vol80,vol100,vol100plus
1,141,2,10,0,0,14,,,5507101.7787730183014952995907,0,0,0,2622567.6281023715398691244313,2884534.1506706467616261751594,0
1,141,2,10,30,40,11,,,13446330.63919276941570146176112,13446330.63919276941570146176112,0,0,0,0,0
1,141,2,10,30,20,11,,,7549587.58000547851577135718808,7549587.58000547851577135718808,0,0,0,0,0
1,141,2,0,0,0,,,,202001650.6105554788272733374884785694369690376,73484687.544242148765091770893196117673914215,43308685.2033325900791361258581657118997499362,18749488.7912952858865634634865749348787303724,43653799.2382189273517227260448119946547272324,11926731.64997341240282247533028,10878258.1834931143419367758754498103298472816
1,141,2,10,30,0,11,,,3305651.1018598869505013494680803651268073608,3305651.1018598869505013494680803651268073608,0,0,0,0,0
1,141,2,10,0,0,12,,,196554.2153465080954665258748,0,0,0,0,196554.2153465080954665258748,0
1,141,2,20,30,40,,,,24320.12981099301989898531344,24320.12981099301989898531344,0,0,0,0,0
1,141,3,0,0,0,,,,4364081.463506044088425236694717894409396394,760555.895354731391812362273848334480174674,0,0,3603525.56815131269661287442086955992922172,0,0
1,141,3,10,20,30,11,,,293667.630156015059189821308090153290343406,293667.630156015059189821308090153290343406,0,0,0,0,0
1,141,8,20,30,0,,,,982488.5716695113298332973769857986736748196,982488.5716695113298332973769857986736748196,0,0,0,0,0
1,141,8,0,0,0,,,,563693.59431777014505517055624,0,0,563693.59431777014505517055624,0,0,0
1,141,9,20,30,0,,,,599396.9980561432848505577526624032936074128,599396.9980561432848505577526624032936074128,0,0,0,0,0
1,141,9,0,0,0,,,,377750.9284058046663250529206045541246147904,201086.4737415928886106983040959297561280864,99625.294834287406543909239968624368486704,0,0,77039.15982992437117044537654,0
1,141,9,10,20,30,11,,,297072.6251784230121266975455217271542783784,297072.6251784230121266975455217271542783784,0,0,0,0,0
1,141,25,10,20,30,11,,,5574625.85692673147746553690768,5574625.85692673147746553690768,0,0,0,0,0
1,141,25,10,0,0,14,,,413991.2990319576390596053875,0,0,0,0,413991.2990319576390596053875,0
1,141,25,20,30,0,,,,,,,,,,
1,141,25,0,0,0,,,,4219412.5201706825757844008346283383754312692,2385120.56278396587866483894986,401021.4001065216622115853219,0,401021.4001065216622115853219,626785.93616946305670359538532,405463.2210042103159927958556483383754312692
1,141,26,10,0,0,14,,,2203787.17318841147514476995722,0,0,0,0,2203787.17318841147514476995722,0
1,141,26,0,0,0,,,,66221.99296152617644197301326,0,0,0,66221.99296152617644197301326,0,0
1,141,27,0,0,0,,,,20557476.6675799526496151500086096390858330808,4893242.4819393179378388772313536751673978368,783829.984093556225617079860339862745036964,1988205.1843112680822244990935887789250970644,5256298.4435725802222689245697073222483012156,7635900.57366323018166576925362,0
1,141,27,10,0,0,14,,,255161.51609697268755053282016,0,0,0,0,255161.51609697268755053282016,0
1,141,27,50,0,0,,,,,,,,,,
1,141,27,10,50,0,12,,,32719.3968109650522360003288778159001157,0,0,32719.3968109650522360003288778159001157,0,0,0
1,141,27,10,20,30,11,,,720416.98491773232000289513824,720416.98491773232000289513824,0,0,0,0,0
1,141,28,20,30,0,,,,399723.7914756257219629379926966136301966592,399723.7914756257219629379926966136301966592,0,0,0,0,0
1,141,28,10,30,0,11,,,1162265.467254058684554669686795625487329648,1162265.467254058684554669686795625487329648,0,0,0,0,0
1,141,28,20,30,40,,,,,,,,,,
1,141,28,50,0,0,,,,621284.4827752560677767746077417217798042228,0,621284.4827752560677767746077417217798042228,0,0,0,0
1,141,28,10,0,0,12,,,,,,,,,
1,141,28,0,0,0,,,,92219968.9665217290915243600948110397077394002,38278826.2973502446197013178635634660247860762,13436771.4289573920829395335612496445998252944,16180691.1338857859516437715689373470390592392,19652286.6101752951867744072980890825567074888,3703903.57694881446161206978934,967489.9192041967888532600136314994873613016
1,141,28,10,0,0,14,,,231136.3061443295353958296747002691419561684,0,0,231136.3061443295353958296747002691419561684,0,0,0
1,141,28,10,20,30,11,,,11739943.9356890874321716038379577012096096358,11739943.9356890874321716038379577012096096358,0,0,0,0,0
1,141,28,40,0,0,,,,354370.1438514830836908920615184414132359604,0,354370.1438514830836908920615184414132359604,0,0,0,0
