STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0001 1.0-1.9','`0002 2.0-2.9','`0003 3.0-3.9','`0004 4.0-4.9'
Georgia,13,Bartow,15,33,Beech,Hardwood,5,0,132101,,3243442.281,,
Georgia,13,Bartow,15,34,Sweetgum,Hardwood,5,0,132101,17345625.15,31389695,39787139.47,15291011.61
Georgia,13,Bartow,15,35,Tupelo and blackgum,Hardwood,5,0,132101,14107472.89,10709539.3,30961266.8,
Georgia,13,Bartow,15,36,Ash,Hardwood,5,0,132101,1718971.495,3713484.364,,
Georgia,13,Bartow,15,39,Yellow-poplar,Hardwood,5,0,132101,8769147.608,17679900.7,9691133.799,
Georgia,13,Bartow,15,40,Black walnut,Hardwood,5,0,132101,2975926.127,,,
Georgia,13,Bartow,15,41,Other eastern soft hardwoods,Hardwood,5,0,132101,14642351.38,5720364.351,32461322.63,60610762.02
Georgia,13,Bartow,15,42,Other eastern hard hardwoods,Hardwood,5,0,132101,,10489409.86,8288379.966,26897270.06
Georgia,13,Bartow,15,43,Eastern noncommercial hardwoods,Hardwood,5,0,132101,10724180.73,38675659.96,68974500.55,24239678.5
Georgia,13,Bartow,15,55,Urban-specific hardwoods,Hardwood,5,0,132101,1771715.652,,,
Georgia,13,Ben Hill,17,1,Longleaf and slash pines,Softwood,2,0,132101,,,,40273917.55
Georgia,13,Ben Hill,17,2,Loblolly and shortleaf pines,Softwood,2,0,132101,587468.4103,,13318465.5,31073326.43
Georgia,13,Ben Hill,17,8,Cypress,Softwood,2,0,132101,1668313.166,3306932.575,,39158320.45
Georgia,13,Ben Hill,17,9,Other eastern softwoods,Softwood,2,0,132101,,2998158.468,,
Georgia,13,Ben Hill,17,27,Other white oaks,Hardwood,2,0,132101,673330.6326,,13378976.64,
Georgia,13,Ben Hill,17,28,Other red oaks,Hardwood,2,0,132101,11122811.11,27576149.4,39770624.93,29595000.47
Georgia,13,Ben Hill,17,32,Soft maple,Hardwood,2,0,132101,9423002.431,6534488.435,,43008499.32
