statecd,fortypcd,spgrpcd,trtcd1,trtcd2,trtcd3,harvest_type1_srs,harvest_type2_srs,harvest_type3_srs,areatot,area20,area40,area60,area80,area100,area100plus
1,141,28,10,0,0,14,,,102469.7688758943512482439320064,25,79195.7714744827897641981947552,18295.1780325729514840457372512,25,5053.81936883861,25
1,141,28,10,0,0,12,,,6676.21015552810332806,2,2,2,2,6678.21015552810332806,2
1,141,28,10,30,0,11,,,6047.19478574496,6048.19478574496,1,1,1,1,1
1,141,28,50,0,0,,,,8836.2819648262504512,8838.2819648262504512,2,2,2,2,2
1,141,28,20,30,40,,,,17614.768467683781669585567633,17617.768467683781669585567633,3,3,3,3,3
1,141,28,30,0,0,,,,165.088417650837408,167.088417650837408,2,2,2,2,2
1,141,28,0,0,0,,,,2428223.059061652783450595820238942146,410981.803724005747506551596735799096,573109.487270140850158557038779260874,500728.623100416755279119451223,585476.816598894789848630344740932176,318828.8503568547203975593431718,42355.47801133992026017804558815
1,141,29,10,0,0,14,,,10057.63873767722,2,2,2,2,10059.63873767722,2
1,141,29,0,0,0,,,,230131.6860068925683111858898943993716,98860.9023035091199147074118667507616,23993.53121158121258650173004364861,30174.733768553818614516183454,45063.6412294337764855276177668,32318.8774938146407099329467632,56
1,141,29,10,20,30,11,,,24188.77914297984,24192.77914297984,4,4,4,4,4
1,141,29,10,30,0,11,,,56.3398206649922591330961948274554,57.3398206649922591330961948274554,1,1,1,1,1
1,141,29,20,30,0,,,,926.8030023443048282418758157358812,928.8030023443048282418758157358812,2,2,2,2,2
1,141,31,0,0,0,,,,14875.61030101716943944,3778.6145266289575,7,10064.63873767722,7,1053.35703671099193944,7
1,141,32,0,0,0,,,,265978.4062480605337060972142455950688,42362.0649035215843285570163943,15629.8080167504845531114343128,39465.303575756026865071417963,82378.903460346970999496183454,76838.2929044531776690508439088450688,9718.03338723228929081031821265
1,141,32,10,0,0,12,,,10014.31523329215499209,3,3,3,3,10017.31523329215499209,3
1,141,32,10,20,30,11,,,36442.6971978536713824486096552,36449.6971978536713824486096552,7,7,7,7,7
1,141,32,10,0,0,14,,,7612.574180238729785019057188,5,5,7617.574180238729785019057188,5,5,5
1,141,33,20,30,0,,,,926.8030023443048282418758157358812,928.8030023443048282418758157358812,2,2,2,2,2
1,141,33,0,0,0,,,,4650.21554464160729619,324.6993388983736037,2,2,4329.51620574323369249,2,2
1,141,33,10,20,30,11,,,11882.81456813378,11884.81456813378,2,2,2,2,2
1,141,34,10,0,0,14,,,6090.0593441909838280152457504,1,6091.0593441909838280152457504,1,1,1,1
1,141,34,0,0,0,,,,578638.8245161352905871691715837007536,375415.5557120132075044532107984047006,56143.622092972166371352115083346053,143,90675.9577886692746236464365391,34461.27768560530040916,22657.41123687534167855740916285
1,141,34,10,20,30,11,,,217705.9388639085215493835014764,217750.9388639085215493835014764,45,45,45,45,45
1,141,34,30,0,0,,,,165.088417650837408,167.088417650837408,2,2,2,2,2
1,141,35,10,0,0,14,,,41569.1754339845129680914745024,25,25,36565.3560651459029680914745024,25,5053.81936883861,25
1,141,35,10,30,0,11,,,2816.99103324961295665480974137277,2866.99103324961295665480974137277,50,50,50,50,50
1,141,35,10,20,30,11,,,6047.19478574496,6048.19478574496,1,1,1,1,1
1,141,35,0,0,0,,,,267401.0169185839730899274399527886958,39730.16023205484708378903954865,52636.358273088555371666800138935179,63790.6374212126062610328255692,83278.6527057694491590330848682,25068.8638240477521174689170902535168,3280.34446241076309693677273755
1,141,36,20,30,0,,,,926.8030023443048282418758157358812,928.8030023443048282418758157358812,2,2,2,2,2
1,141,36,0,0,0,,,,10835.4810317885317333103943099849002,10839.4810317885317333103943099849002,4,4,4,4,4
1,141,36,10,20,30,11,,,5941.40728406689,5942.40728406689,1,1,1,1,1
1,141,38,0,0,0,,,,322.6993388983736037,323.6993388983736037,1,1,1,1,1
1,141,39,0,0,0,,,,195683.5326061514867584639426800408744,42955.5614811161562858695278586,31818.62722329576837362049242900763,63,90858.00296390299117368331748448959,30303.3409378365709252906049079436544,63
1,141,39,10,20,30,11,,,30111.8968690720756658250229286,30116.8968690720756658250229286,5,5,5,5,5
1,141,39,10,30,0,11,,,56.3398206649922591330961948274554,57.3398206649922591330961948274554,1,1,1,1,1
1,141,39,40,0,0,,,,6023.7467537107637229032366908,1,1,1,1,6024.7467537107637229032366908,1
1,141,41,10,0,0,14,,,18270.1780325729514840457372512,3,3,18273.1780325729514840457372512,3,3,3
1,141,41,10,20,30,11,,,31353.34639298038988615970811925,31361.34639298038988615970811925,8,8,8,8,8
1,141,41,10,0,0,12,,,6676.21015552810332806,2,2,2,2,6678.21015552810332806,2
1,141,41,30,0,0,,,,165.088417650837408,167.088417650837408,2,2,2,2,2
1,141,41,0,0,0,,,,285939.9248283002955323577637962250666,67329.3782505381803997787218035007616,54672.177719570559923460549939324305,89970.7642585564269498654218546,59125.1464931192982592530701988,15147.45810651583,61
1,141,41,20,30,0,,,,1390.2045035164572423628137236038218,1393.2045035164572423628137236038218,3,3,3,3,3
1,141,42,10,0,0,12,,,3338.10507776405166403,1,1,1,1,3339.10507776405166403,1
1,141,42,10,0,0,15,,,10585.08716779622,10587.08716779622,2,2,2,2,2
