STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0003 5.0-6.9','`0004 7.0-8.9','`0005 9.0-10.9','`0006 11.0-12.9','`0007 13.0-14.9','`0008 15.0-16.9','`0009 17.0-18.9','`0010 19.0-20.9','`0011 21.0-22.9','`0012 23.0-24.9','`0013 25.0-26.9','`0014 27.0-28.9','`0015 29.0-30.9','`0016 31.0-32.9','`0017 33.0-34.9','`0018 35.0-36.9','`0019 37.0-38.9','`0020 39.0-40.9','`0021 41.0+'
Georgia,13,Bacon,5,2,Loblolly and shortleaf pines,Softwood,1,0,132101,54835566.71,93093469.91,249202221.3,179515206.2,200274893.4,97487830.84,,,,,,,,,,,,,
Georgia,13,Conecuh,5,2,Loblolly and shortleaf pines,Softwood,1,0,132101,54835566.71,93093469.91,249202221.3,179515206.2,200274893.4,97487830.84,,,,,,,,,,,,,
Georgia,13,Bacon,5,8,Cypress,Softwood,1,0,132101,6042734.656,,,34699597.96,28542803.62,,119731374,48916027.9,,64277253.54,,,,,,,,,
Georgia,13,Conecuh,5,8,Cypress,Softwood,1,0,132101,6042734.656,,,34699597.96,28542803.62,,119731374,48916027.9,,64277253.54,,,,,,,,,
Georgia,13,Bacon,5,28,Other red oaks,Hardwood,1,0,132101,23763708.8,18028190.48,11108879.02,12092730.15,,,,,,,,,,,,,,,
Georgia,13,Conecuh,5,28,Other red oaks,Hardwood,1,0,132101,23763708.8,18028190.48,11108879.02,12092730.15,,,,,,,,,,,,,,,
Georgia,13,Bacon,5,32,Soft maple,Hardwood,1,0,132101,28644316.89,30363565.23,11733412.56,13155257.34,8639034.469,32874886.76,,,,,,91358656.7,,,,,,,
Georgia,13,Conecuh,5,32,Soft maple,Hardwood,1,0,132101,28644316.89,30363565.23,11733412.56,13155257.34,8639034.469,32874886.76,,,,,,91358656.7,,,,,,,
Georgia,13,Bacon,5,34,Sweetgum,Hardwood,1,0,132101,6124616.724,9934619.273,,,,,,,,,,,,,,,,,
Georgia,13,Conecuh,5,34,Sweetgum,Hardwood,1,0,132101,6124616.724,9934619.273,,,,,,,,,,,,,,,,,
Georgia,13,Bacon,5,35,Tupelo and blackgum,Hardwood,1,0,132101,17760935.63,,36696692.72,50423291.91,92539201.65,53168407.9,36792898.51,,,,,,,,,,,,
Georgia,13,Conecuh,5,35,Tupelo and blackgum,Hardwood,1,0,132101,17760935.63,,36696692.72,50423291.91,92539201.65,53168407.9,36792898.51,,,,,,,,,,,,
Georgia,13,Bacon,5,42,Other eastern hard hardwoods,Hardwood,1,0,132101,3736702.613,,,,,,,,,,,,,,,,,,
Georgia,13,Conecuh,5,42,Other eastern hard hardwoods,Hardwood,1,0,132101,3736702.613,,,,,,,,,,,,,,,,,,
