stateAbbr,statecd,unitcd,priceRegion,spcd,spgrpcd,spclass,sizerange,volume,value,product
AR,05,01,02,131,2,Softwood,2.0-2.9,3160850.643563294,777661.5437465466,Pre-merchantable
AR,05,01,02,131,2,Softwood,3.0-3.9,17016996.36184188,5282206.494552963,Pre-merchantable
AR,05,01,02,131,2,Softwood,4.0-4.9,22480553.37062464,8804106.492225707,Pre-merchantable
AR,05,02,02,131,2,Softwood,1.0-1.9,0.0,0.0,Pre-merchantable
AR,05,02,02,131,2,Softwood,2.0-2.9,0.0,0.0,Pre-merchantable
AR,05,02,02,131,2,Softwood,3.0-3.9,2347476.05365832,728674.6140609392,Pre-merchantable
AR,05,02,02,131,2,Softwood,4.0-4.9,6172084.64384814,2417186.5161680463,Pre-merchantable
AR,05,03,01,110,2,Softwood,1.0-1.9,2828078.2903345325,742370.1658670095,Pre-merchantable
AR,05,03,01,110,2,Softwood,2.0-2.9,2491622.2430172823,721583.3935816131,Pre-merchantable
AR,05,03,01,110,2,Softwood,3.0-3.9,9279878.204765126,3390723.901768439,Pre-merchantable
AR,05,03,01,110,2,Softwood,4.0-4.9,6123643.819694763,2822967.604196103,Pre-merchantable
AR,05,03,01,131,2,Softwood,1.0-1.9,18476674.63401324,4850124.573849988,Pre-merchantable
AR,05,03,01,131,2,Softwood,2.0-2.9,52520779.31314529,15210219.878450286,Pre-merchantable
AR,05,03,01,131,2,Softwood,3.0-3.9,118030173.86540836,43126399.164357774,Pre-merchantable
AR,05,03,01,131,2,Softwood,4.0-4.9,245288406.25777906,113076665.61591724,Pre-merchantable
AR,05,04,01,110,2,Softwood,1.0-1.9,18626430.96645404,4889435.590710332,Pre-merchantable
AR,05,04,01,110,2,Softwood,2.0-2.9,46869565.432045065,13573606.582992747,Pre-merchantable
AR,05,04,01,110,2,Softwood,3.0-3.9,88399265.58024532,32299723.777387675,Pre-merchantable
AR,05,04,01,110,2,Softwood,4.0-4.9,90510455.68398854,41724844.18756783,Pre-merchantable
AR,05,04,01,131,2,Softwood,1.0-1.9,3929894.8676359835,1031596.867278286,Pre-merchantable
AR,05,04,01,131,2,Softwood,2.0-2.9,10907981.645055477,3158993.4768897803,Pre-merchantable
AR,05,04,01,131,2,Softwood,3.0-3.9,18604777.951243855,6797897.978228222,Pre-merchantable
AR,05,04,01,131,2,Softwood,4.0-4.9,40230511.78366459,18546054.40967265,Pre-merchantable
AR,05,05,02,110,2,Softwood,1.0-1.9,1058373.4773824576,236020.83785167558,Pre-merchantable
AR,05,05,02,110,2,Softwood,2.0-2.9,4633506.038129693,1139977.7670319804,Pre-merchantable
AR,05,05,02,110,2,Softwood,3.0-3.9,9687980.911504168,3007223.75451654,Pre-merchantable
AR,05,05,02,110,2,Softwood,4.0-4.9,19532945.296743162,7649728.530439986,Pre-merchantable
AR,05,05,02,131,2,Softwood,1.0-1.9,669756.4643752797,149357.93957099164,Pre-merchantable
AR,05,05,02,131,2,Softwood,2.0-2.9,2827448.662048591,695634.9221594549,Pre-merchantable
AR,05,05,02,131,2,Softwood,3.0-3.9,19848170.080006633,6161024.58226388,Pre-merchantable
AR,05,05,02,131,2,Softwood,4.0-4.9,30307128.94674104,11869244.778884659,Pre-merchantable
FL,12,01,01,111,1,Softwood,1.0-1.9,6004410.993872881,2325926.2284473884,Pre-merchantable
FL,12,01,01,111,1,Softwood,2.0-2.9,17478128.913360354,7469571.885532071,Pre-merchantable
FL,12,01,01,111,1,Softwood,3.0-3.9,43554096.58343362,23484190.981726885,Pre-merchantable
FL,12,01,01,111,1,Softwood,4.0-4.9,94871396.84273018,64539813.99826477,Pre-merchantable
FL,12,01,01,121,1,Softwood,1.0-1.9,555333.7344244253,215119.4013463551,Pre-merchantable
FL,12,01,01,121,1,Softwood,2.0-2.9,3078853.2142526833,1315799.6215076745,Pre-merchantable
FL,12,01,01,121,1,Softwood,3.0-3.9,4838629.731559898,2608969.387945833,Pre-merchantable
FL,12,01,01,121,1,Softwood,4.0-4.9,9783621.734428719,6655674.396953875,Pre-merchantable
FL,12,01,01,131,2,Softwood,1.0-1.9,1609870.864101461,623615.0175342448,Pre-merchantable
FL,12,01,01,131,2,Softwood,2.0-2.9,4431825.174777208,1894014.9080720183,Pre-merchantable
FL,12,01,01,131,2,Softwood,3.0-3.9,13355114.98419244,7201023.450707793,Pre-merchantable
FL,12,01,01,131,2,Softwood,4.0-4.9,28190653.64070773,19177745.906670514,Pre-merchantable
FL,12,01,02,111,1,Softwood,1.0-1.9,6004410.993872881,2023099.754782865,Pre-merchantable
FL,12,01,02,111,1,Softwood,2.0-2.9,17478128.913360354,6497062.9184745625,Pre-merchantable
FL,12,01,02,111,1,Softwood,3.0-3.9,43554096.58343362,20426641.410772637,Pre-merchantable
FL,12,01,02,111,1,Softwood,4.0-4.9,94871396.84273018,56136983.31300049,Pre-merchantable
FL,12,01,02,121,1,Softwood,1.0-1.9,555333.7344244253,187111.6988965551,Pre-merchantable
FL,12,01,02,121,1,Softwood,2.0-2.9,3078853.2142526833,1144487.6707858907,Pre-merchantable
FL,12,01,02,121,1,Softwood,3.0-3.9,4838629.731559898,2269291.8048877874,Pre-merchantable
FL,12,01,02,121,1,Softwood,4.0-4.9,9783621.734428719,5789131.69115439,Pre-merchantable
FL,12,01,02,131,2,Softwood,1.0-1.9,1609870.864101461,542422.7878003744,Pre-merchantable
FL,12,01,02,131,2,Softwood,2.0-2.9,4431825.174777208,1647421.5945504848,Pre-merchantable
FL,12,01,02,131,2,Softwood,3.0-3.9,13355114.98419244,6263478.436733287,Pre-merchantable
FL,12,01,02,131,2,Softwood,4.0-4.9,28190653.64070773,16680878.596468702,Pre-merchantable
FL,12,02,02,110,2,Softwood,1.0-1.9,0.0,0.0,Pre-merchantable
FL,12,02,02,110,2,Softwood,2.0-2.9,431153.901377225,160270.81838561862,Pre-merchantable
FL,12,02,02,110,2,Softwood,3.0-3.9,3301741.52210993,1548499.346645872,Pre-merchantable
FL,12,02,02,110,2,Softwood,4.0-4.9,0.0,0.0,Pre-merchantable
FL,12,02,02,111,1,Softwood,1.0-1.9,4012511.809507379,1351958.0298819214,Pre-merchantable
FL,12,02,02,111,1,Softwood,2.0-2.9,10949223.632783502,4070103.5679090912,Pre-merchantable
FL,12,02,02,111,1,Softwood,3.0-3.9,16655829.952760201,7811496.335186228,Pre-merchantable
FL,12,02,02,111,1,Softwood,4.0-4.9,50685537.124193564,29991475.264858536,Pre-merchantable
FL,12,02,02,121,1,Softwood,1.0-1.9,2360931.949715282,795481.9970521723,Pre-merchantable
FL,12,02,02,121,1,Softwood,2.0-2.9,9393695.088393115,3491874.2348674885,Pre-merchantable
FL,12,02,02,121,1,Softwood,3.0-3.9,16264240.997447705,7627843.182026121,Pre-merchantable
FL,12,02,02,121,1,Softwood,4.0-4.9,28776434.202812552,17027494.69715151,Pre-merchantable
FL,12,02,02,131,2,Softwood,1.0-1.9,2907013.8870445094,979476.4362452038,Pre-merchantable
FL,12,02,02,131,2,Softwood,2.0-2.9,9432214.110845411,3506192.73049544,Pre-merchantable
FL,12,02,02,131,2,Softwood,3.0-3.9,14251999.071477786,6684112.339744245,Pre-merchantable
FL,12,02,02,131,2,Softwood,4.0-4.9,31686366.382168636,18749349.96260387,Pre-merchantable
FL,12,03,01,111,1,Softwood,1.0-1.9,1973786.9532374127,764585.0439929679,Pre-merchantable
FL,12,03,01,111,1,Softwood,2.0-2.9,4302061.887963154,1838558.3884545448,Pre-merchantable
FL,12,03,01,111,1,Softwood,3.0-3.9,8036587.300359886,4333295.0470326,Pre-merchantable
FL,12,03,01,111,1,Softwood,4.0-4.9,16892949.073650703,11492060.066354135,Pre-merchantable
FL,12,03,01,121,1,Softwood,1.0-1.9,446196.32570719405,172842.88801320316,Pre-merchantable
FL,12,03,01,121,1,Softwood,2.0-2.9,1318416.1469322979,563447.2793611883,Pre-merchantable
FL,12,03,01,121,1,Softwood,3.0-3.9,8864025.780554343,4779446.495893271,Pre-merchantable
FL,12,03,01,121,1,Softwood,4.0-4.9,16974846.181199323,11547773.635080714,Pre-merchantable
FL,12,03,01,131,2,Softwood,1.0-1.9,756704.440721065,293124.2894018655,Pre-merchantable
FL,12,03,01,131,2,Softwood,2.0-2.9,0.0,0.0,Pre-merchantable
FL,12,03,01,131,2,Softwood,3.0-3.9,1311177.974065335,706981.8081290702,Pre-merchantable
FL,12,03,01,131,2,Softwood,4.0-4.9,0.0,0.0,Pre-merchantable
GA,13,01,02,111,1,Softwood,1.0-1.9,6160846.994625842,2175013.1702361945,Pre-merchantable
GA,13,01,02,111,1,Softwood,2.0-2.9,16564759.206461914,6451814.071003329,Pre-merchantable
GA,13,01,02,111,1,Softwood,3.0-3.9,31606070.109258313,15531486.95023302,Pre-merchantable
GA,13,01,02,111,1,Softwood,4.0-4.9,93488193.7556448,57962235.46191439,Pre-merchantable
GA,13,01,02,121,1,Softwood,1.0-1.9,361217.27533728135,127523.42849298996,Pre-merchantable
GA,13,01,02,121,1,Softwood,2.0-2.9,2138199.777250959,832808.2067201065,Pre-merchantable
GA,13,01,02,121,1,Softwood,3.0-3.9,6733319.969078514,3308809.6960479855,Pre-merchantable
GA,13,01,02,121,1,Softwood,4.0-4.9,27023503.615812313,16754443.707401639,Pre-merchantable
GA,13,01,02,131,2,Softwood,1.0-1.9,8910657.052466394,3145800.6442098734,Pre-merchantable
GA,13,01,02,131,2,Softwood,2.0-2.9,24783388.291019093,9652890.893865816,Pre-merchantable
GA,13,01,02,131,2,Softwood,3.0-3.9,45024630.65902763,22125479.729126602,Pre-merchantable
GA,13,01,02,131,2,Softwood,4.0-4.9,73484502.55128707,45560042.060628355,Pre-merchantable
GA,13,02,02,110,2,Softwood,1.0-1.9,734800.5914369933,259412.53942305816,Pre-merchantable
GA,13,02,02,110,2,Softwood,2.0-2.9,2663933.0001557,1037576.2303812983,Pre-merchantable
GA,13,02,02,110,2,Softwood,3.0-3.9,0.0,0.0,Pre-merchantable
GA,13,02,02,110,2,Softwood,4.0-4.9,4440270.175055333,2752946.3888645642,Pre-merchantable
GA,13,02,02,111,1,Softwood,1.0-1.9,1409649.9852173664,497660.02725689055,Pre-merchantable
GA,13,02,02,111,1,Softwood,2.0-2.9,5602694.210601984,2182195.4000629,Pre-merchantable
