FOREST_TYPE_GROUP,STAND_AGE_5_YR_CLASSES_TO_200,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
Loblolly / shortleaf pine group,96-100 years,1625375.680384161,1640211017786.0435,2,1280707.233440197,78.7945364814059
Oak / pine group,96-100 years,4964081.615607822,3616717192199.23,8,1901766.860632299,38.31054780914272
Oak / hickory group,96-100 years,33833696.82917301,35755366609827.77,51,5979579.133168803,17.673443027404936
Oak / gum / cypress group,96-100 years,7036762.109303966,8334955293752.461,10,2887032.2640650314,41.0278508669181
Elm / ash / cottonwood group,96-100 years,428312.6736543584,189264828389.16437,1,435045.777348964,101.57200664578959
Longleaf / slash pine group,100-105 years,443573.43166492594,193296154605.27072,1,439654.5855615187,99.11652821750434
Oak / pine group,100-105 years,4024313.4612083314,3710047775336.155,7,1926148.4302452276,47.862783275010756
Oak / hickory group,100-105 years,16689596.953065736,13882259635862.701,26,3725890.4487199704,22.3246280853748
Oak / gum / cypress group,100-105 years,7526178.778334457,7796842968344.922,9,2792282.7522199326,37.10093573990099
White / red / jack pine group,106-110 years,462575.0119647326,214479718043.92114,1,463119.5504876912,100.11771896641059
Loblolly / shortleaf pine group,106-110 years,157553.00891935104,24882963195.91461,1,157743.34596398863,100.12080825745132
Oak / pine group,106-110 years,2738615.8545839163,3689239617742.741,2,1920739.341436714,70.13540574599996
Oak / hickory group,106-110 years,8488795.406612158,9680381064150.234,12,3111331.0759464726,36.65220949397568
Oak / gum / cypress group,106-110 years,1318901.3218061714,1090783609221.6777,2,1044405.8642221795,79.18756672348438
Oak / hickory group,111-115 years,8217800.047158947,9177225201816.06,10,3029393.5369667737,36.86380198571628
Oak / gum / cypress group,111-115 years,3990270.902780434,4514997335444.663,5,2124852.3090898963,53.25082834875426
Loblolly / shortleaf pine group,116-120 years,432030.21274390334,178560607222.01605,1,422564.3231769763,97.80897509301319
Oak / hickory group,116-120 years,2940432.042415432,2994887364648.7505,4,1730574.2875267593,58.85442215849241
Longleaf / slash pine group,121-125 years,398814.941995217,156255389356.0119,1,395291.5245183128,99.11652821750434
Oak / pine group,121-125 years,778008.1752580537,639868960205.4512,1,799918.0959357347,102.81615558479366
Oak / hickory group,121-125 years,3553980.1733843274,3106740673167.862,5,1762594.869267428,49.59495504413499
Oak / gum / cypress group,121-125 years,1487393.2276774286,1575804046560.8247,2,1255310.338745294,84.39666897673501
Elm / ash / cottonwood group,121-125 years,876692.3444592586,792943956033.6158,1,890474.0063772866,101.57200664578959
Loblolly / shortleaf pine group,126-130 years,255415.70905501506,65394903454.8115,1,255724.27232238144,100.12080825745136
Oak / hickory group,126-130 years,1397680.932399319,1250783453593.769,2,1118384.3049657703,80.0171397520537
Oak / gum / cypress group,126-130 years,3888639.4845670895,4375183883692.634,4,2091694.0224833635,53.78986740181767
Oak / hickory group,131-135 years,3801743.333881223,6086894483197.846,5,2467163.2461590064,64.89557630499648
Oak / gum / cypress group,131-135 years,931827.1402854951,838652345987.923,1,915779.638334421,98.27784561564096
Oak / hickory group,136-140 years,397659.6268654942,158505703463.2524,1,398127.7476680725,100.11771896641062
