stateAbbr,spclass,species,pwVolume,pwValue,stVolume,stValue
GA,Non-coniferous,green ash,2915084216.4821177,1816663970.995129,4378354522.315413,34221025636.96638
GA,Non-coniferous,mockernut hickory,4467478560.761518,2656491037.0739427,5234422168.4750395,40348894258.92886
GA,Non-coniferous,overcup oak,522032949.51527864,333715883.92167467,1904449649.66205,15283297709.615282
GA,Non-coniferous,pecan,434821306.5280352,269812453.7009524,682619288.0861641,5462185738.791526
GA,Non-coniferous,pignut hickory,7596825491.46776,4483926906.487491,11076904162.579678,85131546754.28519
GA,Non-coniferous,shagbark hickory,549504894.732416,336283726.2107013,550917091.9495903,4282559540.073702
GA,Non-coniferous,shelbark hickory,38876875.72535806,22098492.949117523,13430926.6950117,107783816.30215773
GA,Non-coniferous,southern magnolia,762433429.4963336,490490217.3983005,510441897.7267998,4086491647.1764827
GA,Non-coniferous,southern red oak,7205868847.903816,4331009339.006432,17188019350.5988,133148906196.42741
GA,Non-coniferous,sugar maple,25016090.803734437,14111107.770684026,26111135.7334139,196834880.05598065
GA,Non-coniferous,sweetbay,4548613604.652115,2930928980.7464113,2559614527.362457,20495066903.223522
GA,Non-coniferous,sweetgum,38543560117.35827,23896201878.67688,32992226647.898495,258677539774.77908
GA,Non-coniferous,white ash,61053153.180637956,35062057.71171998,188265893.9790642,1419214201.8770785
GA,Non-coniferous,white oak,15167591984.943235,8950334627.265133,46494545341.28127,356384483936.904
GA,Non-coniferous,yellow-poplar,20277021562.84279,12075431579.446014,51170306161.48637,395464501620.8904
GA,Softwood,loblolly pine,607312344.0643857,292151330.91156524,,
GA,Softwood,longleaf pine,109175218.6693942,60128304.82863149,,
GA,Softwood,shortleaf pine,55945934.90931691,25166732.132410478,,
GA,Softwood,slash pine,229184031.22444063,126532259.67069367,,
LA,Coniferous,baldcypress,7653929564.649127,4444100779.537963,23075518344.339134,132199511252.38495
LA,Coniferous,eastern redcedar,98003105.56827514,59675090.941683404,31973087.732923307,186529689.21888292
LA,Coniferous,loblolly pine,80742398445.61034,48889901796.96677,72068899073.50842,422193867913.65076
LA,Coniferous,longleaf pine,1475562316.7515032,895094324.6662064,4206330848.8560624,24877924237.35853
LA,Coniferous,shortleaf pine,885184240.0855259,545951573.6830394,2611384057.179347,15465158899.991707
LA,Coniferous,slash pine,8394400273.827756,5106866705.463147,3369171550.703457,19714435986.31867
LA,Non-coniferous,bitternut hickory,184452900.72460318,122936558.39484756,80146964.1097988,620164402.317283
LA,Non-coniferous,black cherry,738241777.2169194,487232203.20654535,124926903.3749609,981770040.0289145
LA,Non-coniferous,black oak,119199648.27535655,82197511.66662945,151841574.210267,1161825295.168246
LA,Non-coniferous,black walnut,7311835.92357368,5153153.464062117,0.0,0.0
