stateAbbr,statecd,unitcd,priceRegion,spcd,spname,spgrpcd,spclass,product,sizerange,volume,value
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,05.0-06.9,101362924.44255924,82230989.21316507
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,07.0-08.9,68078389.07798712,55228805.88448292
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,09.0-10.9,29454895.636318468,23895376.13151222
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,11.0-12.9,106362116.99754527,86286599.79587422
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,13.0-14.9,107580292.68142089,953181228.2738522
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,15.0-16.9,23698473.7798886,209972847.09591615
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,17.0-18.9,63993589.9862847,566995006.0966362
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,19.0-20.9,31813431.7727864,281872871.1083706
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,21.0-22.9,53104164.5317193,470512688.83136845
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,05.0-06.9,4039754.54270961,3277263.497006117
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,07.0-08.9,0.0,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,09.0-10.9,0.0,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,11.0-12.9,0.0,0.0
