stateAbbr,statecd,unitcd,priceRegion,spcd,spname,spgrpcd,spclass,Product,size_class_code,size_class_range,volume
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,0003,5.0-6.9,101362924.44255924
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,0004,7.0-8.9,68078389.07798712
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,0005,9.0-10.9,29454895.636318468
AL,01,01,02,544,green ash,36,Non-coniferous,Pulpwood,0006,11.0-12.9,106362116.99754527
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0007,13.0-14.9,107580292.68142089
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0008,15.0-16.9,23698473.7798886
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0009,17.0-18.9,63993589.9862847
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0010,19.0-20.9,31813431.7727864
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0011,21.0-22.9,53104164.5317193
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,544,green ash,36,Non-coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,0003,5.0-6.9,4039754.54270961
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,0004,7.0-8.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,0005,9.0-10.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Pulpwood,0006,11.0-12.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0007,13.0-14.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0008,15.0-16.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0009,17.0-18.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0010,19.0-20.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0011,21.0-22.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,602,black walnut,40,Non-coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,0003,5.0-6.9,330268033.9494636
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,0004,7.0-8.9,373768890.1358429
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,0005,9.0-10.9,332971475.8828751
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,0006,11.0-12.9,308439400.9504744
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0007,13.0-14.9,334045611.7058646
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0008,15.0-16.9,400671302.2223147
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0009,17.0-18.9,212362117.12534088
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0010,19.0-20.9,155072368.6435988
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0011,21.0-22.9,121944516.7830687
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,0003,5.0-6.9,140982043.50790858
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,0004,7.0-8.9,273774226.3193109
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,0005,9.0-10.9,391491794.2933117
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,0006,11.0-12.9,486884681.7741679
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0007,13.0-14.9,488856215.2604636
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0008,15.0-16.9,430707569.85145056
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0009,17.0-18.9,164679257.8984375
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0010,19.0-20.9,250784482.0833505
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0011,21.0-22.9,121661468.8836
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0012,23.0-24.9,238224569.46372873
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0013,25.0-26.9,197764040.7943454
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0014,27.0-28.9,109134026.100385
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0015,29.0-30.9,119452887.521608
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0016,31.0-32.9,141332731.92417
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0017,33.0-34.9,111378191.787504
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Pulpwood,0003,5.0-6.9,52030479.729507975
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Pulpwood,0004,7.0-8.9,75273100.69466908
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Pulpwood,0005,9.0-10.9,26060428.860957332
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Pulpwood,0006,11.0-12.9,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0007,13.0-14.9,39137369.3539836
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0008,15.0-16.9,48401419.1852377
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0009,17.0-18.9,0.0
AL,01,01,02,652,southern magnolia,41,Non-coniferous,Sawtimber,0010,19.0-20.9,0.0
