fips,statecd,priceRegion,unitcd
12099,12,03,04
12101,12,01,03
12103,12,03,03
12105,12,03,03
12107,12,01,01
12109,12,01,01
12111,12,03,03
12113,12,02,02
12115,12,03,03
12117,12,01,03
12119,12,01,03
12121,12,01,01
12123,12,02,01
12125,12,01,01
12127,12,01,01
12129,12,02,02
12131,12,02,02
12133,12,02,02
13001,13,02,01
13003,13,02,01
13005,13,02,01
13007,13,02,02
13009,13,02,03
13011,13,01,04
13013,13,01,04
13015,13,01,05
13017,13,02,02
13019,13,02,02
13021,13,02,03
13023,13,02,03
13025,13,02,01
13027,13,02,02
13029,13,02,01
13031,13,02,01
13033,13,02,03
13035,13,03,03
13037,13,02,03
13039,13,02,01
13043,13,02,01
13045,13,01,04
13047,13,01,05
13049,13,02,01
13051,13,02,01
13053,13,02,03
13055,13,01,05
13057,13,01,05
13059,13,01,04
13061,13,02,03
13063,13,01,04
13065,13,02,01
13067,13,01,04
13069,13,02,01
13071,13,02,02
13073,13,02,03
13075,13,02,02
13077,13,01,04
13079,13,02,03
13081,13,02,02
13083,13,01,05
13085,13,01,05
13087,13,02,02
13089,13,01,04
13091,13,02,01
13093,13,02,02
13095,13,02,03
13097,13,01,04
13099,13,02,02
13101,13,02,01
13103,13,02,01
13105,13,01,04
13107,13,02,01
13109,13,02,01
13111,13,01,05
13113,13,01,04
13115,13,01,05
13117,13,01,04
13119,13,01,04
13121,13,01,04
13123,13,01,05
13125,13,02,03
13127,13,02,01
13129,13,01,05
13131,13,02,02
13133,13,02,03
13135,13,01,04
13137,13,01,05
13139,13,01,04
13141,13,02,03
13143,13,01,04
13145,13,02,03
13147,13,01,04
13149,13,01,04
13151,13,01,04
13153,13,02,03
13155,13,02,02
13157,13,01,04
13159,13,02,03
13161,13,02,01
13163,13,02,03
13165,13,02,01
13167,13,02,01
13169,13,02,03
13171,13,02,03
13173,13,02,02
13175,13,02,01
13177,13,02,03
13179,13,02,01
13181,13,02,03
13183,13,02,01
13185,13,02,02
13187,13,01,05
13189,13,02,03
13191,13,02,01
13193,13,02,03
13195,13,01,04
13197,13,02,03
13199,13,03,04
13201,13,02,02
13205,13,02,02
13207,13,02,03
13209,13,02,01
13211,13,03,03
13213,13,01,05
13215,13,02,03
13217,13,01,04
13219,13,01,04
13221,13,01,04
13223,13,01,04
13225,13,02,03
13227,13,01,05
13229,13,02,01
13231,13,03,03
13233,13,01,04
13235,13,02,03
13237,13,02,03
13239,13,02,03
13241,13,01,05
13243,13,02,03
13245,13,02,03
13247,13,01,04
13249,13,02,03
13251,13,02,01
13253,13,02,02
13255,13,01,04
13257,13,01,05
13259,13,02,03
13261,13,02,03
13263,13,02,03
13265,13,02,03
13267,13,02,01
13269,13,02,03
13271,13,02,01
13273,13,02,03
13275,13,02,02
13277,13,02,02
13279,13,02,01
13281,13,01,05
13283,13,02,01
13285,13,03,04
13287,13,02,02
13289,13,02,03
13291,13,01,05
13293,13,02,03
13295,13,01,05
13297,13,01,04
13299,13,02,01
13301,13,02,03
13303,13,02,03
13305,13,02,01
13307,13,02,03
13309,13,02,01
13311,13,01,05
13313,13,01,05
13315,13,02,02
13317,13,03,03
13319,13,02,03
13321,13,02,02
21001,21,01,
21003,21,02,
21005,21,02,
21007,21,02,
21009,21,02,
21011,21,01,
21013,21,01,
21015,21,02,
21017,21,02,
21019,21,01,
21021,21,03,
21023,21,02,
21025,21,01,
21027,21,02,
21029,21,02,
21031,21,02,
21033,21,02,
21035,21,02,
21037,21,02,
21039,21,02,
21041,21,02,
21043,21,01,
21045,21,01,
21047,21,02,
21049,21,03,
21051,21,01,
21053,21,01,
21055,21,02,
21057,21,01,
21059,21,02,
21061,21,02,
21063,21,01,
21065,21,01,
21067,21,03,
21069,21,03,
21071,21,01,
21073,21,02,
21075,21,02,
21077,21,02,
21079,21,01,
21081,21,02,
21083,21,02,
21085,21,02,
21087,21,03,
21089,21,01,
21091,21,02,
21093,21,02,
21095,21,01,
21097,21,02,
21099,21,02,
21101,21,02,
21103,21,02,
21105,21,02,
21107,21,02,
21109,21,01,
21111,21,02,
21113,21,03,
21115,21,01,
21117,21,02,
21119,21,01,
21121,21,01,
21123,21,02,
21125,21,01,
21127,21,01,
21129,21,01,
21131,21,01,
21133,21,01,
21135,21,03,
21137,21,01,
21139,21,02,
21141,21,02,
21143,21,02,
21145,21,02,
21147,21,01,
21149,21,02,
21151,21,01,
21153,21,01,
21155,21,03,
21157,21,02,
21159,21,01,
21161,21,02,
21163,21,02,
21165,21,01,
21167,21,03,
21169,21,03,
21171,21,03,
21173,21,01,
21175,21,01,
21177,21,02,
21179,21,02,
21181,21,02,
21183,21,02,
21185,21,02,
21187,21,02,
21189,21,01,
21191,21,02,
21193,21,01,
21195,21,01,
21197,21,01,
21199,21,01,
21201,21,02,
21203,21,01,
21205,21,01,
21207,21,01,
21209,21,02,
21211,21,02,
21213,21,02,
21215,21,02,
21217,21,03,
21219,21,02,
21221,21,02,
21223,21,02,
21225,21,02,
21227,21,02,
21229,21,02,
21231,21,01,
21233,21,02,
21235,21,01,
21237,21,01,
21239,21,02,
22001,22,03,02
22003,22,01,03
22005,22,02,02
22007,22,02,02
22009,22,01,02
22011,22,01,03
22013,22,01,05
22015,22,01,05
22017,22,01,05
22019,22,01,03
22021,22,01,05
22023,22,02,02
22025,22,01,01
22027,22,01,05
22029,22,01,01
22031,22,01,05
22033,22,02,04
22035,22,01,01
22037,22,02,04
22039,22,01,03
22041,22,01,01
22043,22,01,03
22045,22,02,02
22047,22,02,02
22049,22,01,05
22051,22,02,02
