stateAbbr,statecd,unitcd,priceRegion,spcd,spgrpcd,species,spclass,sizerange,product,volume,value
MI,26,01,02,313,41,boxelder,Non-coniferous,17.0-18.9,Sawtimber,0.0,0.0
MI,26,01,02,313,41,boxelder,Non-coniferous,19.0-20.9,Sawtimber,0.0,0.0
MI,26,01,02,313,41,boxelder,Non-coniferous,21.0-22.9,Sawtimber,0.0,0.0
MI,26,01,02,313,41,boxelder,Non-coniferous,23.0-24.9,Sawtimber,0.0,0.0
MI,26,01,02,313,41,boxelder,Non-coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,313,41,boxelder,Non-coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,316,32,red maple,Non-coniferous,05.0-06.9,Pulpwood,5393535866.154448,0.0
MI,26,01,02,316,32,red maple,Non-coniferous,07.0-08.9,Pulpwood,8669010540.431955,0.0
MI,26,01,02,316,32,red maple,Non-coniferous,09.0-10.9,Pulpwood,9944692452.064198,0.0
MI,26,01,02,316,32,red maple,Non-coniferous,11.0-12.9,Pulpwood,8331287927.466964,0.0
MI,26,01,02,316,32,red maple,Non-coniferous,13.0-14.9,Sawtimber,7616065704.613868,114145880203.77968
MI,26,01,02,316,32,red maple,Non-coniferous,15.0-16.9,Sawtimber,6250306187.526588,93676542323.70157
MI,26,01,02,316,32,red maple,Non-coniferous,17.0-18.9,Sawtimber,3201447837.375114,47981739587.97229
MI,26,01,02,316,32,red maple,Non-coniferous,19.0-20.9,Sawtimber,2328732172.931722,34901902628.95436
MI,26,01,02,316,32,red maple,Non-coniferous,21.0-22.9,Sawtimber,532072873.22355586,7974448856.1678
MI,26,01,02,316,32,red maple,Non-coniferous,23.0-24.9,Sawtimber,951093944.580309,14254532414.923325
MI,26,01,02,316,32,red maple,Non-coniferous,25.0-26.9,Sawtimber,461268539.083237,6913268010.814394
MI,26,01,02,316,32,red maple,Non-coniferous,27.0-28.9,Sawtimber,99303099.9715938,1488306455.4386203
MI,26,01,02,318,31,sugar maple,Non-coniferous,05.0-06.9,Pulpwood,4479437715.528391,0.0
MI,26,01,02,318,31,sugar maple,Non-coniferous,07.0-08.9,Pulpwood,8081128861.760322,0.0
MI,26,01,02,318,31,sugar maple,Non-coniferous,09.0-10.9,Pulpwood,11305703401.375175,0.0
MI,26,01,02,318,31,sugar maple,Non-coniferous,11.0-12.9,Pulpwood,12191429898.39436,0.0
MI,26,01,02,318,31,sugar maple,Non-coniferous,13.0-14.9,Sawtimber,11881862621.932467,654677178075.1603
MI,26,01,02,318,31,sugar maple,Non-coniferous,15.0-16.9,Sawtimber,8123607640.277469,447601583602.69696
MI,26,01,02,318,31,sugar maple,Non-coniferous,17.0-18.9,Sawtimber,4735074335.318973,260897234925.15564
MI,26,01,02,318,31,sugar maple,Non-coniferous,19.0-20.9,Sawtimber,2631177550.327934,144974904059.54935
MI,26,01,02,318,31,sugar maple,Non-coniferous,21.0-22.9,Sawtimber,1069274460.5512824,58915812166.46822
MI,26,01,02,318,31,sugar maple,Non-coniferous,23.0-24.9,Sawtimber,626817536.7672827,34536936606.33203
MI,26,01,02,318,31,sugar maple,Non-coniferous,25.0-26.9,Sawtimber,961848789.734357,52996779329.52591
MI,26,01,02,318,31,sugar maple,Non-coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,371,30,yellow birch,Non-coniferous,05.0-06.9,Pulpwood,534131129.8665694,0.0
MI,26,01,02,371,30,yellow birch,Non-coniferous,07.0-08.9,Pulpwood,857307473.2541035,0.0
MI,26,01,02,371,30,yellow birch,Non-coniferous,09.0-10.9,Pulpwood,664011993.4575386,0.0
MI,26,01,02,371,30,yellow birch,Non-coniferous,11.0-12.9,Pulpwood,888184386.6449561,0.0
MI,26,01,02,371,30,yellow birch,Non-coniferous,13.0-14.9,Sawtimber,1096067607.7359967,21474248374.14461
MI,26,01,02,371,30,yellow birch,Non-coniferous,15.0-16.9,Sawtimber,1235403893.836183,24204136561.81467
MI,26,01,02,371,30,yellow birch,Non-coniferous,17.0-18.9,Sawtimber,716406092.9817226,14035888177.75333
MI,26,01,02,371,30,yellow birch,Non-coniferous,19.0-20.9,Sawtimber,268426380.6877492,5259032133.0341
MI,26,01,02,371,30,yellow birch,Non-coniferous,21.0-22.9,Sawtimber,324359151.61638224,6354871665.831338
MI,26,01,02,371,30,yellow birch,Non-coniferous,23.0-24.9,Sawtimber,287327251.4328866,5629339575.753861
MI,26,01,02,371,30,yellow birch,Non-coniferous,25.0-26.9,Sawtimber,89828715.0448801,1759931708.9467752
MI,26,01,02,371,30,yellow birch,Non-coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,05.0-06.9,Pulpwood,1652988145.4628265,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,07.0-08.9,Pulpwood,2521734381.099668,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,09.0-10.9,Pulpwood,2341439684.167831,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,11.0-12.9,Pulpwood,1897458360.991064,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,13.0-14.9,Sawtimber,1019072896.0258316,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,15.0-16.9,Sawtimber,612225292.9545346,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,17.0-18.9,Sawtimber,106831292.3326111,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,19.0-20.9,Sawtimber,0.0,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,21.0-22.9,Sawtimber,0.0,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,23.0-24.9,Sawtimber,0.0,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,375,41,paper birch,Non-coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,531,33,American beech,Non-coniferous,05.0-06.9,Pulpwood,662709795.7384987,0.0
MI,26,01,02,531,33,American beech,Non-coniferous,07.0-08.9,Pulpwood,657105329.3203588,0.0
MI,26,01,02,531,33,American beech,Non-coniferous,09.0-10.9,Pulpwood,624522860.5117588,0.0
MI,26,01,02,531,33,American beech,Non-coniferous,11.0-12.9,Pulpwood,558952811.1557901,0.0
MI,26,01,02,531,33,American beech,Non-coniferous,13.0-14.9,Sawtimber,854326022.3465997,5624367744.937059
MI,26,01,02,531,33,American beech,Non-coniferous,15.0-16.9,Sawtimber,742703960.3630745,4889515348.285135
MI,26,01,02,531,33,American beech,Non-coniferous,17.0-18.9,Sawtimber,555648283.0583773,3658053481.9473333
MI,26,01,02,531,33,American beech,Non-coniferous,19.0-20.9,Sawtimber,823730929.8129392,5422948091.199915
MI,26,01,02,531,33,American beech,Non-coniferous,21.0-22.9,Sawtimber,223653590.1852142,1472400472.154595
MI,26,01,02,531,33,American beech,Non-coniferous,23.0-24.9,Sawtimber,40318871.889727,265435157.81710592
MI,26,01,02,531,33,American beech,Non-coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,531,33,American beech,Non-coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,541,36,white ash,Non-coniferous,05.0-06.9,Pulpwood,136696565.07938516,0.0
MI,26,01,02,541,36,white ash,Non-coniferous,07.0-08.9,Pulpwood,289182648.846961,0.0
MI,26,01,02,541,36,white ash,Non-coniferous,09.0-10.9,Pulpwood,338502388.8178818,0.0
MI,26,01,02,541,36,white ash,Non-coniferous,11.0-12.9,Pulpwood,83569654.03505269,0.0
MI,26,01,02,541,36,white ash,Non-coniferous,13.0-14.9,Sawtimber,232663453.31489667,1744975899.861725
MI,26,01,02,541,36,white ash,Non-coniferous,15.0-16.9,Sawtimber,215535477.833341,1616516083.7500575
MI,26,01,02,541,36,white ash,Non-coniferous,17.0-18.9,Sawtimber,111584956.1099877,836887170.8249078
MI,26,01,02,541,36,white ash,Non-coniferous,19.0-20.9,Sawtimber,95040067.6397356,712800507.2980169
MI,26,01,02,541,36,white ash,Non-coniferous,21.0-22.9,Sawtimber,0.0,0.0
MI,26,01,02,541,36,white ash,Non-coniferous,23.0-24.9,Sawtimber,0.0,0.0
MI,26,01,02,541,36,white ash,Non-coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,541,36,white ash,Non-coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,05.0-06.9,Pulpwood,1759390500.9140835,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,07.0-08.9,Pulpwood,1592029806.8304796,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,09.0-10.9,Pulpwood,612968444.1626221,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,11.0-12.9,Pulpwood,465102323.80284715,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,13.0-14.9,Sawtimber,123108406.6943346,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,15.0-16.9,Sawtimber,72155944.526185,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,17.0-18.9,Sawtimber,0.0,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,19.0-20.9,Sawtimber,0.0,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,21.0-22.9,Sawtimber,0.0,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,23.0-24.9,Sawtimber,0.0,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,543,36,black ash,Non-coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,544,36,green ash,Non-coniferous,05.0-06.9,Pulpwood,363021213.3259453,0.0
MI,26,01,02,544,36,green ash,Non-coniferous,07.0-08.9,Pulpwood,524546268.7507687,0.0
MI,26,01,02,544,36,green ash,Non-coniferous,09.0-10.9,Pulpwood,438386081.498322,0.0
MI,26,01,02,544,36,green ash,Non-coniferous,11.0-12.9,Pulpwood,456318672.12017345,0.0
MI,26,01,02,544,36,green ash,Non-coniferous,13.0-14.9,Sawtimber,300691276.8825122,2820741452.5207515
MI,26,01,02,544,36,green ash,Non-coniferous,15.0-16.9,Sawtimber,87501891.6255118,820842611.2025143
MI,26,01,02,544,36,green ash,Non-coniferous,17.0-18.9,Sawtimber,135096848.4827177,1267324029.3864996
MI,26,01,02,544,36,green ash,Non-coniferous,19.0-20.9,Sawtimber,0.0,0.0
MI,26,01,02,544,36,green ash,Non-coniferous,21.0-22.9,Sawtimber,0.0,0.0
MI,26,01,02,544,36,green ash,Non-coniferous,23.0-24.9,Sawtimber,0.0,0.0
MI,26,01,02,544,36,green ash,Non-coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,544,36,green ash,Non-coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,05.0-06.9,Pulpwood,805988811.6619368,173009614.70310163
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,07.0-08.9,Pulpwood,1041368686.4428062,223535106.93758118
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,09.0-10.9,Pulpwood,854126383.7064534,183342590.3867118
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,11.0-12.9,Pulpwood,1044922035.3205142,224297851.42155275
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,13.0-14.9,Sawtimber,763172599.4161837,4224577012.4636602
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,15.0-16.9,Sawtimber,626870170.3746089,3470068649.725676
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,17.0-18.9,Sawtimber,478735820.1864983,2650064143.4846687
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,19.0-20.9,Sawtimber,272065523.533011,1506031214.276685
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,21.0-22.9,Sawtimber,0.0,0.0
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,23.0-24.9,Sawtimber,56245414.0571789,311349075.5095624
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,25.0-26.9,Sawtimber,66335514.0931539,367203288.1713473
MI,26,01,02,743,37,bigtooth aspen,Non-coniferous,27.0-28.9,Sawtimber,87211352.291685,482762450.327969
MI,26,01,02,746,37,quaking aspen,Non-coniferous,05.0-06.9,Pulpwood,3138658427.580533,673729060.9787198
MI,26,01,02,746,37,quaking aspen,Non-coniferous,07.0-08.9,Pulpwood,3505953547.7701416,752570834.346893
MI,26,01,02,746,37,quaking aspen,Non-coniferous,09.0-10.9,Pulpwood,3052329568.2567954,655198130.433219
MI,26,01,02,746,37,quaking aspen,Non-coniferous,11.0-12.9,Pulpwood,3726615761.950789,799937105.5687072
MI,26,01,02,746,37,quaking aspen,Non-coniferous,13.0-14.9,Sawtimber,2806764711.123551,15536975105.0778
MI,26,01,02,746,37,quaking aspen,Non-coniferous,15.0-16.9,Sawtimber,2030487318.3204792,11239855906.301785
MI,26,01,02,746,37,quaking aspen,Non-coniferous,17.0-18.9,Sawtimber,1703705000.3013961,9430937360.432758
MI,26,01,02,746,37,quaking aspen,Non-coniferous,19.0-20.9,Sawtimber,1452091643.5711918,8038120055.822518
MI,26,01,02,746,37,quaking aspen,Non-coniferous,21.0-22.9,Sawtimber,422997220.82519495,2341520564.0259504
